Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2024,7,28,19,20,33,1319,62,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,8,20,21,33,1200,49,0,16.9,7.0,0.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,15,11,12,33,3693,39,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,8,12,13,33,2397,19,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,26,14,15,33,2776,10,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2024,7,31,14,15,32,1647,1949,0,22.9,7.9,0.3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
2024,7,27,13,14,32,1303,1907,0,22.0,5.5,0.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,7,17,18,32,706,1788,0,19.4,8.4,2.8,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,4,8,9,32,802,1548,0,17.5,6.9,0.0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,2,17,18,32,1077,1462,0,18.1,8.4,1.5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2024,7,13,14,15,32,138,1249,0,18.5,5.5,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,26,18,19,32,345,1199,0,20.9,9.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,10,9,10,32,181,968,0,16.6,11.2,1.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0
2024,7,12,15,16,32,278,921,0,16.3,9.2,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,24,14,15,32,192,901,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2024,7,13,17,18,32,423,848,0,18.5,5.5,0.4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,24,17,18,32,211,822,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2024,7,15,19,20,32,427,738,0,19.2,10.6,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,28,16,17,32,368,725,0,20.3,5.5,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0
2024,7,24,19,20,32,200,710,0,18.9,12.5,0.8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
2024,7,25,13,14,32,3416,187,0,19.8,12.4,0.0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
2024,7,30,20,21,32,930,181,0,11.2,5.5,0.2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
