ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT
2023-08-01 08:00:00,303,2023,8,1,8,9,4,611,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 08:00:00,1910,2023,8,1,8,9,27,581,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 08:00:00,184,2023,8,1,8,9,13,574,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 08:00:00,2758,2023,8,1,8,9,42,238,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 08:00:00,1072,2023,8,1,8,9,13,426,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 09:00:00,8,2023,8,1,9,10,1,354,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 09:00:00,1585,2023,8,1,9,10,6,367,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 09:00:00,869,2023,8,1,9,10,7,575,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 09:00:00,1872,2023,8,1,9,10,28,764,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 09:00:00,192,2023,8,1,9,10,17,875,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 09:00:00,2018,2023,8,1,9,10,55,283,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 09:00:00,25,2023,8,1,9,10,9,1236,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 09:00:00,347,2023,8,1,9,10,5,959,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 10:00:00,1863,2023,8,1,10,11,16,1158,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 10:00:00,1997,2023,8,1,10,11,60,369,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 10:00:00,22,2023,8,1,10,11,20,2179,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 10:00:00,1555,2023,8,1,10,11,12,396,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 10:00:00,11,2023,8,1,10,11,3,554,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 10:00:00,408,2023,8,1,10,11,13,1398,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 10:00:00,956,2023,8,1,10,11,24,518,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 10:00:00,195,2023,8,1,10,11,46,1455,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 11:00:00,1657,2023,8,1,11,12,25,441,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 11:00:00,2348,2023,8,1,11,12,53,582,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 11:00:00,209,2023,8,1,11,12,34,1606,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 11:00:00,2040,2023,8,1,11,12,19,1206,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 11:00:00,431,2023,8,1,11,12,7,1796,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 11:00:00,9,2023,8,1,11,12,5,782,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 11:00:00,10,2023,8,1,11,12,12,3143,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 11:00:00,1220,2023,8,1,11,12,18,343,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 12:00:00,1,2023,8,1,12,13,1,470,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 12:00:00,1735,2023,8,1,12,13,18,608,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 12:00:00,5,2023,8,1,12,13,4,889,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 12:00:00,497,2023,8,1,12,13,7,1746,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 12:00:00,1962,2023,8,1,12,13,9,1232,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 12:00:00,2415,2023,8,1,12,13,48,511,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 12:00:00,1204,2023,8,1,12,13,33,511,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 12:00:00,19,2023,8,1,12,13,13,3349,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 13:00:00,1064,2023,8,1,13,14,22,482,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 13:00:00,16,2023,8,1,13,14,28,3351,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 13:00:00,5,2023,8,1,13,14,8,933,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 13:00:00,1760,2023,8,1,13,14,27,1343,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
2023-08-01 13:00:00,7,2023,8,1,13,14,1,812,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
2023-08-01 13:00:00,2114,2023,8,1,13,14,45,558,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
2023-08-01 13:00:00,510,2023,8,1,13,14,2,1640,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
2023-08-01 13:00:00,1751,2023,8,1,13,14,19,675,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 14:00:00,1261,2023,8,1,14,15,25,393,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
2023-08-01 14:00:00,1756,2023,8,1,14,15,10,570,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
2023-08-01 14:00:00,8,2023,8,1,14,15,0,787,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
2023-08-01 14:00:00,12,2023,8,1,14,15,18,3313,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
2023-08-01 14:00:00,1940,2023,8,1,14,15,61,637,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
