ds,y,Year,Month,Day,Starting time,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,Source_Camera  308 Murraygate,Source_Camera 310 - Seagate,Source_Camera 317 Reform St,Source_Camera 320 Westport,Source_Camera 323 Union Street,Source_Camera 328 South Marketgait,Source_Camera 331 Railway Station,Source_Camera 332 Waterfront,Source_Camera 500 Hilltown,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-01 07:00:00,155,2023,8,1,7,8,27,1730,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2023-08-01 07:00:00,193,2023,8,1,7,8,5,907,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 07:00:00,400,2023,8,1,7,8,2,211,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 07:00:00,302,2023,8,1,7,8,5,96,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 08:00:00,624,2023,8,1,8,9,3,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2023-08-01 08:00:00,237,2023,8,1,8,9,9,6,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
2023-08-01 08:00:00,490,2023,8,1,8,9,14,1690,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0
2023-08-01 08:00:00,611,2023,8,1,8,9,4,303,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
2023-08-01 08:00:00,581,2023,8,1,8,9,27,1910,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
2023-08-01 08:00:00,574,2023,8,1,8,9,13,184,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0
2023-08-01 08:00:00,238,2023,8,1,8,9,42,2758,0,17.8,13.1,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
