ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-11 13:00:00,532,14,5,1818,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 18:00:00,456,19,5,535,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 07:00:00,197,8,5,391,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 22:00:00,72,23,5,232,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 10:00:00,480,11,4,1329,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 09:00:00,363,10,4,904,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 21:00:00,83,22,4,233,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 16:00:00,621,17,3,1098,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 11:00:00,520,12,3,1750,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 06:00:00,100,7,3,124,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 05:00:00,77,6,3,61,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 02:00:00,53,3,3,55,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 14:00:00,585,15,2,1674,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 08:00:00,291,9,1,489,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 23:00:00,70,0,1,340,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 00:00:00,68,1,1,141,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 01:00:00,53,2,0,28,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 03:00:00,40,4,0,24,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 04:00:00,23,5,0,10,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-12 17:00:00,453,18,8,889,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 19:00:00,375,20,7,542,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 09:00:00,370,10,7,546,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 12:00:00,591,13,6,1089,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 15:00:00,493,16,6,863,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 18:00:00,466,19,6,707,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 01:00:00,84,2,5,497,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 11:00:00,479,12,3,809,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 10:00:00,388,11,3,732,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-16 04:00:00,26,5,0,11,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
