ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-05 01:00:00,0,2,0,2,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 04:00:00,0,5,0,2,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 02:00:00,0,3,0,1,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 17:00:00,101,18,7,91,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 06:00:00,16,7,1,18,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 07:00:00,65,8,4,39,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-07 14:00:00,310,15,7,27,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-06 14:00:00,2,15,4,93,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 19:00:00,639,20,0,199,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 15:00:00,841,16,6,96,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 07:00:00,349,8,6,46,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 23:00:00,93,0,0,20,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 08:00:00,289,9,12,96,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 18:00:00,707,19,2,246,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 22:00:00,327,23,2,80,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 20:00:00,426,21,1,146,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 12:00:00,1,13,11,111,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 16:00:00,306,17,4,87,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 21:00:00,242,22,4,29,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 10:00:00,0,11,10,86,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 20:00:00,156,21,4,56,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 15:00:00,127,16,9,106,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 19:00:00,31,20,3,58,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 13:00:00,0,14,8,169,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-08 09:00:00,797,10,11,94,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 11:00:00,714,12,11,77,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 12:00:00,733,13,10,86,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 14:00:00,10,15,10,76,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 08:00:00,525,9,3,101,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-08 13:00:00,397,14,7,129,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 06:00:00,3,7,0,10,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 18:00:00,90,19,2,97,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 06:00:00,113,7,1,24,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-07 11:00:00,21,12,0,23,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 10:00:00,766,11,6,42,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 20:00:00,487,21,0,99,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
