ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-24 01:00:00,109,2,1,40,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 03:00:00,103,4,1,26,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 05:00:00,224,6,0,42,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 04:00:00,97,5,0,23,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-24 02:00:00,70,3,0,16,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0
2023-08-25 12:00:00,2114,13,35,1260,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 07:00:00,1618,8,26,527,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 15:00:00,2470,16,25,1565,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 17:00:00,2281,18,25,1162,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 09:00:00,1962,10,25,836,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 19:00:00,1530,20,24,920,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 14:00:00,2257,15,23,1435,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 13:00:00,2154,14,22,1409,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 18:00:00,2116,19,21,848,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 20:00:00,1096,21,19,743,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 10:00:00,2042,11,18,1169,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 08:00:00,2361,9,17,834,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 16:00:00,2086,17,14,1242,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 11:00:00,1931,12,9,1122,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 06:00:00,635,7,7,172,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 23:00:00,304,0,6,336,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 21:00:00,786,22,4,680,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 00:00:00,140,1,4,95,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 22:00:00,672,23,3,486,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 05:00:00,223,6,1,62,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 04:00:00,102,5,0,10,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 03:00:00,79,4,0,6,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 01:00:00,71,2,0,36,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-25 02:00:00,70,3,0,18,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0
2023-08-26 12:00:00,2162,13,42,1945,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 17:00:00,1838,18,33,1036,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 21:00:00,723,22,1,249,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 08:00:00,2603,9,48,919,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-26 06:00:00,309,7,6,75,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-17 21:00:00,38,22,2,352,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-26 20:00:00,1055,21,4,900,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-26 21:00:00,805,22,4,738,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-17 04:00:00,85,5,1,19,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-26 00:00:00,278,1,4,181,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 22:00:00,470,23,1,210,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 16:00:00,2423,17,37,1436,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 12:00:00,1643,13,25,1030,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-17 03:00:00,30,4,1,3,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-26 22:00:00,703,23,2,521,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 23:00:00,241,0,1,101,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 17:00:00,2655,18,36,1126,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 14:00:00,1756,15,24,885,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-17 01:00:00,47,2,0,64,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-26 23:00:00,462,0,2,415,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 03:00:00,32,4,1,7,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 19:00:00,1451,20,35,908,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 19:00:00,1429,20,24,613,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-26 01:00:00,194,2,1,86,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-16 09:00:00,2043,10,34,810,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-28 13:00:00,1350,14,0,46,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-22 11:00:00,1496,12,21,885,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-26 05:00:00,143,6,0,59,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-17 02:00:00,21,3,0,184,0,11.2,14.6,0.0,0,0,0,0,1,0,0,1,0
2023-08-26 02:00:00,102,3,0,45,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 12:00:00,1295,13,0,59,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 13:00:00,1951,14,32,1424,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 22:00:00,562,23,17,318,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 15:00:00,2176,16,25,1467,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-26 03:00:00,80,4,0,15,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 04:00:00,80,5,0,20,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 07:00:00,1737,8,32,485,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 10:00:00,1591,11,16,744,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 17:00:00,2357,18,23,1290,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-26 04:00:00,73,5,0,25,0,18.3,5.5,0.8,0,0,1,0,0,0,0,1,0
2023-08-28 01:00:00,74,2,0,60,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 18:00:00,1941,19,31,759,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 20:00:00,1123,21,15,450,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 18:00:00,2094,19,18,466,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-27 11:00:00,1960,12,37,667,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-28 02:00:00,62,3,0,38,0,18.2,8.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-16 12:00:00,2001,13,25,1387,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 13:00:00,1703,14,14,949,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 09:00:00,2032,10,17,759,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-27 08:00:00,644,9,27,227,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-29 17:00:00,2244,18,51,928,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-16 11:00:00,2048,12,18,1146,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 21:00:00,617,22,13,373,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 07:00:00,1606,8,17,416,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-27 16:00:00,1757,17,26,1166,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-29 08:00:00,2391,9,49,747,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-16 14:00:00,1951,15,18,1339,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-22 06:00:00,676,7,7,199,0,18.0,15.6,0.7,0,0,0,0,0,1,0,1,0
2023-08-18 08:00:00,2371,9,15,637,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-27 15:00:00,1867,16,24,1033,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0
2023-08-29 16:00:00,2392,17,30,919,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
