ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-08 02:00:00,1,3,43,3,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 23:00:00,0,0,145,15,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 20:00:00,0,21,418,10,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 03:00:00,0,4,15,2,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-05 10:00:00,4,11,188,80,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 08:00:00,23,9,385,135,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 11:00:00,4,12,705,19,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 10:00:00,19,11,671,245,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 22:00:00,2,23,427,23,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 22:00:00,3,23,390,208,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 11:00:00,18,12,813,223,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 23:00:00,2,0,339,21,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-03 18:00:00,17,19,661,43,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 21:00:00,2,22,349,7,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 19:00:00,3,20,708,22,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 09:00:00,14,10,375,172,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 18:00:00,3,19,706,9,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 20:00:00,10,21,441,9,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 09:00:00,1,10,354,8,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 23:00:00,2,0,371,176,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 07:00:00,8,8,135,109,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 07:00:00,1,8,114,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 06:00:00,2,7,27,2,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 19:00:00,7,20,430,15,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 06:00:00,1,7,22,2,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 16:00:00,1,17,805,27,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 23:00:00,5,0,200,31,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 05:00:00,1,6,22,1,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 00:00:00,1,1,461,16,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 05:00:00,5,6,23,24,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 02:00:00,0,3,50,11,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 02:00:00,0,3,190,13,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 22:00:00,5,23,272,13,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 00:00:00,0,1,169,10,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 01:00:00,0,2,296,12,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 06:00:00,4,7,58,28,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 04:00:00,0,5,23,9,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 15:00:00,0,16,1067,9,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 21:00:00,4,22,368,14,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 14:00:00,0,15,787,8,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 20:00:00,0,21,883,8,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 00:00:00,2,1,359,18,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 01:00:00,0,2,79,4,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-05 04:00:00,0,5,33,2,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-03 04:00:00,0,5,36,15,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-01 03:00:00,0,4,7,3,0,17.8,13.1,0.0,0,0,0,0,0,1,0,1,0
2023-08-03 03:00:00,0,4,29,9,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 05:00:00,0,6,26,2,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-02 19:00:00,18,20,394,100,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-03 02:00:00,0,3,132,7,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-05 03:00:00,0,4,49,0,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-02 16:00:00,16,17,637,88,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-03 01:00:00,0,2,212,2,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-06 19:00:00,25,20,428,143,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 17:00:00,13,18,704,9,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 14:00:00,14,15,861,10,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 14:00:00,23,15,1036,163,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 15:00:00,10,16,874,32,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 08:00:00,12,9,253,26,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 18:00:00,23,19,571,162,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 12:00:00,7,13,538,7,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 15:00:00,11,16,980,16,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 16:00:00,21,17,798,180,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 08:00:00,5,9,267,15,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 20:00:00,11,21,528,8,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 13:00:00,21,14,947,134,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 14:00:00,4,15,656,57,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 17:00:00,11,18,613,4,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 20:00:00,17,21,414,143,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 18:00:00,4,19,463,53,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 12:00:00,10,13,850,16,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-06 12:00:00,16,13,998,170,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-02 20:00:00,3,21,386,15,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-04 07:00:00,8,8,94,11,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 19:00:00,8,20,452,10,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 10:00:00,7,11,576,23,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 13:00:00,4,14,1116,15,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 16:00:00,3,17,836,16,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 06:00:00,3,7,29,4,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 18:00:00,3,19,733,2,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 22:00:00,2,23,817,75,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 11:00:00,2,12,684,14,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 00:00:00,1,1,190,18,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 09:00:00,1,10,413,12,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 01:00:00,1,2,131,4,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 23:00:00,0,0,439,26,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-02 07:00:00,3,8,111,8,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-06 15:00:00,15,16,969,177,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
