ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-12-04 11:00:00,24,12,0,772,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 14:00:00,57,15,0,769,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-04 16:00:00,89,17,0,222,0,4.5,-2.2,1.6,0,1,0,0,0,0,0,0,1
2023-12-05 18:00:00,70,19,2,71,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 06:00:00,15,7,2,4,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 22:00:00,44,23,0,100,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 14:00:00,105,15,12,761,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 21:00:00,92,22,1,398,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 10:00:00,81,11,11,685,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 05:00:00,5,6,0,9,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 11:00:00,81,12,5,0,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 09:00:00,122,10,20,2,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 00:00:00,15,1,0,5,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 04:00:00,1,5,0,5,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 02:00:00,2,3,0,3,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 01:00:00,0,2,0,3,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 03:00:00,1,4,0,2,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 17:00:00,393,18,4,633,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 16:00:00,136,17,4,459,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 23:00:00,8,0,0,14,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 05:00:00,2,6,0,3,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 01:00:00,2,2,0,0,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 04:00:00,2,5,0,0,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 02:00:00,1,3,0,0,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 17:00:00,91,18,7,101,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 06:00:00,18,7,1,16,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 07:00:00,39,8,4,65,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-07 14:00:00,27,15,7,310,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-06 14:00:00,93,15,4,2,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 19:00:00,199,20,0,639,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 15:00:00,96,16,6,841,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 07:00:00,46,8,6,349,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 23:00:00,20,0,0,93,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 08:00:00,96,9,12,289,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 18:00:00,246,19,2,707,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 22:00:00,80,23,2,327,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 20:00:00,146,21,1,426,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-06 12:00:00,111,13,11,1,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 16:00:00,87,17,4,306,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-05 21:00:00,29,22,4,242,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 10:00:00,86,11,10,0,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 20:00:00,56,21,4,156,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 15:00:00,106,16,9,127,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-05 19:00:00,58,20,3,31,0,6.1,2.8,0.0,0,0,0,0,0,1,0,0,1
2023-12-06 13:00:00,169,14,8,0,0,6.9,-3.3,1.1,0,0,0,0,0,0,1,0,1
2023-12-08 09:00:00,94,10,11,797,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 11:00:00,77,12,11,714,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 12:00:00,86,13,10,733,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 14:00:00,76,15,10,10,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 08:00:00,101,9,3,525,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-08 13:00:00,129,14,7,397,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 06:00:00,10,7,0,3,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 18:00:00,97,19,2,90,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 06:00:00,24,7,1,113,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-07 11:00:00,23,12,0,21,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 10:00:00,42,11,6,766,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 20:00:00,99,21,0,487,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 08:00:00,54,9,6,676,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 09:00:00,22,10,2,130,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 21:00:00,75,22,0,379,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 15:00:00,76,16,5,361,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 18:00:00,123,19,3,609,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 09:00:00,46,10,22,795,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-07 17:00:00,39,18,2,18,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 19:00:00,74,20,2,671,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 23:00:00,14,0,0,84,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 00:00:00,11,1,0,58,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 05:00:00,11,6,0,28,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 04:00:00,5,5,0,28,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 01:00:00,16,2,0,24,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 02:00:00,10,3,0,17,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-08 03:00:00,2,4,0,14,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 12:00:00,23,13,0,8,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-09 10:00:00,77,11,13,1540,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-08 17:00:00,87,18,2,336,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-09 13:00:00,116,14,9,299,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 11:00:00,62,12,6,456,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-09 12:00:00,100,13,6,434,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1
2023-12-07 20:00:00,54,21,0,458,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 21:00:00,31,22,0,366,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 19:00:00,55,20,0,285,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 06:00:00,23,7,1,383,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 15:00:00,21,16,0,204,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 22:00:00,23,23,0,189,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-07 07:00:00,55,8,1,285,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 16:00:00,111,17,1,500,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
2023-12-07 05:00:00,9,6,1,134,0,8.5,-4.0,14.6,0,0,0,0,1,0,0,0,1
2023-12-08 22:00:00,29,23,1,319,0,8.3,5.9,5.2,1,0,0,0,0,0,0,0,1
