ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-23 18:00:00,268,19,44,1111,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-29 17:00:00,884,18,79,2583,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-18 06:00:00,60,7,9,603,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 07:00:00,99,8,43,951,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-29 14:00:00,1151,15,75,1865,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-18 22:00:00,192,23,8,643,0,20.9,13.2,9.7,1,0,0,0,0,0,0,1,0
2023-08-23 12:00:00,465,13,40,1164,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-29 09:00:00,271,10,70,1236,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 10:00:00,406,11,70,1109,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 18:00:00,361,19,68,1651,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 11:00:00,369,12,63,1143,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 08:00:00,206,9,59,1609,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 19:00:00,304,20,48,1098,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 15:00:00,1119,16,45,2045,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 07:00:00,64,8,33,901,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 21:00:00,214,22,20,679,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 20:00:00,319,21,12,907,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 22:00:00,74,23,8,539,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 06:00:00,9,7,6,373,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 05:00:00,8,6,0,148,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 00:00:00,21,1,0,71,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 23:00:00,5,0,0,44,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 04:00:00,2,5,0,44,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 01:00:00,7,2,0,35,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 02:00:00,7,3,0,26,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-29 03:00:00,0,4,0,22,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0
2023-08-30 17:00:00,945,18,93,2924,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 09:00:00,307,10,91,2125,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 16:00:00,1120,17,84,2582,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 13:00:00,1705,14,78,2023,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 08:00:00,243,9,68,2729,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 10:00:00,391,11,54,2022,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 12:00:00,748,13,51,2201,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 18:00:00,569,19,48,2014,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 14:00:00,1525,15,46,2004,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 07:00:00,107,8,38,1817,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 15:00:00,1328,16,36,1892,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 19:00:00,428,20,35,1272,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 11:00:00,320,12,32,2055,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 22:00:00,238,23,21,498,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 20:00:00,461,21,20,1035,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 21:00:00,286,22,16,822,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-30 06:00:00,45,7,6,642,0,17.9,7.7,0.0,0,0,0,0,0,0,1,1,0
2023-08-23 19:00:00,222,20,33,792,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 15:00:00,486,16,31,1304,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 21:00:00,166,22,16,527,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 20:00:00,260,21,9,728,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 06:00:00,49,7,8,330,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 22:00:00,111,23,6,316,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
2023-08-23 23:00:00,58,0,6,205,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0
