ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-04 18:00:00,1220,19,15,3,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 19:00:00,858,20,14,68,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 10:00:00,2017,11,13,7,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 09:00:00,1411,10,12,16,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 11:00:00,3162,12,11,15,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 12:00:00,3499,13,9,12,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 07:00:00,214,8,9,12,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 06:00:00,60,7,7,3,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 21:00:00,679,22,6,73,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 20:00:00,645,21,4,118,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 08:00:00,741,9,4,14,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 17:00:00,2142,18,4,12,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 03:00:00,23,4,2,25,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 01:00:00,33,2,1,28,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 22:00:00,232,23,1,10,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 23:00:00,142,0,1,6,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 00:00:00,68,1,0,41,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 05:00:00,44,6,0,31,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 02:00:00,45,3,0,20,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-04 04:00:00,7,5,0,7,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-05 18:00:00,356,19,12,10,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 09:00:00,1102,10,11,9,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 10:00:00,899,11,10,7,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 17:00:00,1094,18,9,6,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-05 21:00:00,517,22,4,96,0,17.5,5.5,9.2,0,0,1,0,0,0,0,1,0
2023-08-11 23:00:00,133,0,3,2,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 00:00:00,70,1,2,24,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 01:00:00,41,2,0,26,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 05:00:00,55,6,0,20,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 03:00:00,27,4,0,18,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-11 04:00:00,7,5,0,11,0,20.8,15.8,0.0,1,0,0,0,0,0,0,1,0
2023-08-12 17:00:00,1909,18,20,19,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 11:00:00,2373,12,14,20,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 16:00:00,2916,17,14,18,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 09:00:00,1119,10,11,17,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 13:00:00,3147,14,11,15,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 15:00:00,2881,16,10,12,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 14:00:00,3143,15,10,9,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 10:00:00,1828,11,9,14,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 06:00:00,79,7,8,6,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 20:00:00,545,21,7,110,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 19:00:00,726,20,6,97,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 12:00:00,3113,13,5,6,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 21:00:00,544,22,3,117,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 23:00:00,274,0,3,74,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 18:00:00,492,19,3,11,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 03:00:00,137,4,3,6,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 08:00:00,480,9,2,6,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 00:00:00,164,1,2,6,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 22:00:00,294,23,1,90,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 01:00:00,149,2,0,7,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 07:00:00,138,8,0,4,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 04:00:00,30,5,0,4,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 02:00:00,85,3,0,3,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 05:00:00,40,6,0,1,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-13 11:00:00,1532,12,20,12,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 14:00:00,1867,15,11,2,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 13:00:00,2398,14,9,9,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 15:00:00,1448,16,9,3,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 18:00:00,263,19,7,6,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 12:00:00,1818,13,6,16,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 16:00:00,1623,17,6,7,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 09:00:00,263,10,6,3,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 10:00:00,796,11,5,5,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 17:00:00,495,18,5,5,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 07:00:00,86,8,4,13,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 19:00:00,245,20,3,8,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 08:00:00,97,9,3,2,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 21:00:00,464,22,2,62,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 00:00:00,188,1,1,77,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 20:00:00,576,21,1,74,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 03:00:00,124,4,1,40,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 05:00:00,43,6,1,12,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 01:00:00,124,2,0,67,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-13 02:00:00,108,3,0,57,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-15 03:00:00,5,4,0,11,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 04:00:00,8,5,0,9,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-16 17:00:00,1323,18,25,10,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 16:00:00,2027,17,23,11,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
