ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT
2023-08-10 10:00:00,12,11,529,856,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 22:00:00,11,23,47,442,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-08 12:00:00,14,13,500,1163,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-12 05:00:00,4,6,37,84,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-14 05:00:00,3,6,55,138,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-06 13:00:00,10,14,513,489,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 07:00:00,10,8,224,622,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 21:00:00,9,22,91,549,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-08 20:00:00,12,21,157,717,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-12 18:00:00,3,19,150,540,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-14 01:00:00,2,2,18,117,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 22:00:00,1,23,26,64,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 02:00:00,0,3,10,81,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 04:00:00,0,5,15,57,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-14 03:00:00,0,4,7,55,0,20.6,13.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-15 09:00:00,39,10,573,1058,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 08:00:00,35,9,545,995,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 17:00:00,34,18,143,837,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 16:00:00,26,17,425,1067,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 15:00:00,25,16,414,839,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 14:00:00,22,15,639,900,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 11:00:00,20,12,397,1053,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 18:00:00,18,19,7,473,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 19:00:00,17,20,9,467,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 10:00:00,15,11,220,1017,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 20:00:00,15,21,2,299,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 07:00:00,14,8,204,738,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 13:00:00,12,14,771,965,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 12:00:00,9,13,773,1036,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 05:00:00,8,6,25,201,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 06:00:00,7,7,52,305,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 22:00:00,5,23,89,387,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 21:00:00,3,22,116,475,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 23:00:00,2,0,38,279,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 02:00:00,2,3,12,58,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 00:00:00,1,1,30,151,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 01:00:00,1,2,9,97,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 04:00:00,1,5,12,46,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-15 03:00:00,0,4,10,42,0,18.4,11.2,0.9,0,0,0,0,0,1,0,1,0
2023-08-16 15:00:00,60,16,651,1138,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 17:00:00,57,18,552,1382,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 16:00:00,56,17,574,1332,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 18:00:00,51,19,333,962,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 13:00:00,41,14,693,1208,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 19:00:00,41,20,163,813,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 14:00:00,31,15,679,1188,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 06:00:00,29,7,99,332,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 20:00:00,26,21,141,636,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 10:00:00,19,11,387,1026,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 08:00:00,18,9,302,1116,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 07:00:00,16,8,159,705,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 21:00:00,15,22,130,527,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 11:00:00,14,12,489,998,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 09:00:00,10,10,246,901,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 05:00:00,10,6,25,160,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 12:00:00,8,13,521,1041,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-16 22:00:00,3,23,75,399,0,17.7,13.9,0.2,0,0,0,0,0,0,1,1,0
2023-08-12 17:00:00,2,18,312,715,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 11:00:00,6,12,292,512,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-12 07:00:00,2,8,94,306,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-12 03:00:00,2,4,22,139,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 08:00:00,6,9,69,241,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-12 04:00:00,1,5,22,87,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 07:00:00,6,8,41,148,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-12 02:00:00,0,3,25,196,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 12:00:00,5,13,525,496,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 08:00:00,9,9,460,938,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-12 01:00:00,0,2,34,164,0,19.7,15.4,11.4,0,0,1,0,0,0,0,1,0
2023-08-06 05:00:00,5,6,30,54,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-10 21:00:00,9,22,133,629,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-13 16:00:00,16,17,209,1000,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-06 00:00:00,4,1,65,341,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 17:00:00,4,18,74,240,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 06:00:00,4,7,29,113,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 09:00:00,3,10,123,330,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 18:00:00,2,19,64,259,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 19:00:00,1,20,63,215,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 20:00:00,1,21,43,205,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 21:00:00,1,22,34,181,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 02:00:00,1,3,34,177,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 03:00:00,1,4,38,168,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 04:00:00,1,5,17,81,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 16:00:00,0,17,98,288,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 01:00:00,0,2,55,277,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 22:00:00,0,23,21,153,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-06 23:00:00,0,0,7,119,0,20.0,5.5,3.0,0,0,0,1,0,0,0,1,0
2023-08-07 12:00:00,23,13,618,1000,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 19:00:00,21,20,126,511,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 11:00:00,16,12,609,939,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 20:00:00,16,21,125,533,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 10:00:00,14,11,425,848,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 09:00:00,14,10,508,806,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 05:00:00,14,6,47,192,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 08:00:00,13,9,333,834,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 13:00:00,13,14,151,275,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 21:00:00,10,22,149,482,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 07:00:00,7,8,137,609,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 06:00:00,6,7,81,248,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 22:00:00,5,23,61,338,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 23:00:00,3,0,23,231,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 04:00:00,1,5,11,70,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 03:00:00,1,4,10,36,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 00:00:00,0,1,16,78,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 01:00:00,0,2,4,55,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-07 02:00:00,0,3,9,29,1,19.9,9.5,0.0,0,1,0,0,0,0,0,1,0
2023-08-08 17:00:00,64,18,689,1229,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 15:00:00,46,16,579,1148,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 16:00:00,42,17,588,1230,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 14:00:00,42,15,556,1126,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 08:00:00,37,9,580,1020,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 13:00:00,29,14,620,1085,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-08 18:00:00,27,19,445,923,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-03 05:00:00,1,6,62,170,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-02 23:00:00,9,0,34,308,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-08 07:00:00,12,8,279,663,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-13 18:00:00,16,19,131,711,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-02 06:00:00,8,7,91,285,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-13 09:00:00,15,10,220,368,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-10 06:00:00,9,7,128,255,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 05:00:00,3,6,47,163,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-13 10:00:00,12,11,290,665,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-08 11:00:00,8,12,292,982,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-10 09:00:00,8,10,560,935,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 00:00:00,2,1,16,209,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-13 15:00:00,12,16,125,262,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-08 21:00:00,6,22,66,552,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-10 05:00:00,4,6,91,158,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 03:00:00,2,4,6,57,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-13 19:00:00,9,20,85,567,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-08 06:00:00,6,7,113,266,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-10 23:00:00,2,0,29,304,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 01:00:00,1,2,5,120,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-13 11:00:00,7,12,364,645,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-08 05:00:00,4,6,88,143,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-10 22:00:00,1,23,52,430,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-02 02:00:00,1,3,5,98,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-13 17:00:00,6,18,102,788,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-10 00:00:00,0,1,57,173,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-08 00:00:00,1,1,18,130,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-02 04:00:00,1,5,14,62,0,19.8,13.5,2.1,0,0,0,0,0,0,1,1,0
2023-08-10 01:00:00,0,2,17,116,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-13 23:00:00,6,0,48,257,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-03 23:00:00,0,0,0,2,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-08 04:00:00,1,5,22,54,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-03 17:00:00,65,18,366,1189,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-10 02:00:00,0,3,20,71,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-08 01:00:00,0,2,8,81,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-04 14:00:00,45,15,71,762,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-13 08:00:00,5,9,123,221,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-03 09:00:00,49,10,822,874,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
2023-08-10 03:00:00,0,4,31,66,0,22.5,14.2,5.0,0,0,0,0,1,0,0,1,0
2023-08-08 02:00:00,0,3,8,54,0,19.1,7.7,0.2,0,0,0,0,0,1,0,1,0
2023-08-04 15:00:00,43,16,87,809,0,15.4,11.3,1.6,1,0,0,0,0,0,0,1,0
2023-08-13 00:00:00,4,1,53,369,0,19.7,13.4,1.1,0,0,0,1,0,0,0,1,0
2023-08-03 18:00:00,47,19,191,961,0,17.3,11.8,0.0,0,0,0,0,1,0,0,1,0
