ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-10-03 23:00:00,116,0,4,229,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-03 21:00:00,359,22,3,643,0,13.8,8.2,1.1,0,0,0,0,0,1,0,1,0,0
2023-10-04 08:00:00,851,9,15,2675,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 00:00:00,88,1,0,179,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 09:00:00,771,10,14,2044,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 14:00:00,1198,15,13,2015,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 13:00:00,1107,14,13,1808,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 07:00:00,404,8,13,1687,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-04 04:00:00,20,5,0,84,0,16.2,8.2,0.0,0,0,0,0,0,0,1,1,0,0
2023-10-06 10:00:00,215,11,3,1746,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 21:00:00,257,22,1,701,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 20:00:00,467,21,0,893,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 23:00:00,92,0,0,390,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 06:00:00,4,7,0,376,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 22:00:00,92,23,0,320,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 00:00:00,95,1,0,135,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
2023-10-06 05:00:00,0,6,0,125,0,11.0,10.5,28.3,1,0,0,0,0,0,0,1,0,0
