ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-01-28 19:00:00,858,20,14,259,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 15:00:00,1507,16,13,574,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 14:00:00,1506,15,12,453,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 17:00:00,1200,18,12,376,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 10:00:00,966,11,12,267,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-26 06:00:00,221,7,1,33,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-27 06:00:00,113,7,0,23,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-26 05:00:00,130,6,1,20,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 13:00:00,1534,14,7,932,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 14:00:00,1461,15,7,897,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 19:00:00,1082,20,7,347,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 03:00:00,94,4,1,23,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-27 05:00:00,88,6,0,20,0,11.3,5.5,0.0,0,0,1,0,0,0,0,0,1,0
2024-01-26 23:00:00,307,0,0,184,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 00:00:00,37,1,5,75,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 12:00:00,1444,13,4,946,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 11:00:00,1247,12,4,568,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 04:00:00,76,5,0,7,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 20:00:00,199,21,3,372,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-26 01:00:00,16,2,0,31,0,9.7,5.5,0.0,1,0,0,0,0,0,0,0,1,0
2024-01-29 11:00:00,1612,12,26,471,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 15:00:00,1924,16,25,620,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 09:00:00,1902,10,25,660,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 13:00:00,1842,14,25,692,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 20:00:00,810,21,9,311,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 10:00:00,1640,11,21,454,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 12:00:00,1631,13,21,667,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-28 20:00:00,850,21,10,227,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 21:00:00,622,22,10,296,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 12:00:00,1563,13,8,470,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 02:00:00,386,3,7,491,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 22:00:00,446,23,6,179,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 00:00:00,467,1,5,427,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 16:00:00,1354,17,3,445,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 23:00:00,324,0,3,54,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-30 13:00:00,539,14,18,382,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 15:00:00,2060,16,16,895,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 12:00:00,586,13,14,266,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 11:00:00,514,12,13,168,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 17:00:00,2497,18,12,840,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 18:00:00,1615,19,12,657,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 14:00:00,653,15,12,349,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 10:00:00,450,11,9,138,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-30 16:00:00,2393,17,7,851,0,8.7,5.5,0.0,0,0,0,0,0,1,0,0,1,0
2024-01-29 14:00:00,1748,15,19,572,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 06:00:00,318,7,1,51,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-28 03:00:00,365,4,2,504,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-29 05:00:00,193,6,1,15,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 00:00:00,239,1,7,46,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 16:00:00,2249,17,17,802,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 17:00:00,2126,18,17,750,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-28 08:00:00,248,9,2,84,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-29 02:00:00,108,3,1,22,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-28 04:00:00,155,5,2,227,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-29 08:00:00,2062,9,5,594,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 04:00:00,76,5,1,18,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 07:00:00,838,8,5,106,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-28 06:00:00,128,7,2,28,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-29 01:00:00,119,2,3,42,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 19:00:00,1111,20,13,421,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 18:00:00,1458,19,10,536,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 21:00:00,613,22,10,332,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-28 09:00:00,569,10,1,163,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 01:00:00,345,2,1,439,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 07:00:00,217,8,1,47,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-28 05:00:00,109,6,0,44,0,5.7,5.5,0.0,0,0,0,1,0,0,0,0,1,0
2024-01-29 22:00:00,460,23,0,227,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 23:00:00,285,0,0,115,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-29 03:00:00,67,4,0,13,0,7.4,5.5,0.0,0,1,0,0,0,0,0,0,1,0
2024-01-31 00:00:00,129,1,0,82,0,11.2,5.5,2.1,0,0,0,0,0,0,1,0,1,0
2024-01-31 02:00:00,99,3,0,162,0,11.2,5.5,2.1,0,0,0,0,0,0,1,0,1,0
2024-01-31 01:00:00,99,2,0,32,0,11.2,5.5,2.1,0,0,0,0,0,0,1,0,1,0
2024-01-31 03:00:00,56,4,0,105,0,11.2,5.5,2.1,0,0,0,0,0,0,1,0,1,0
2024-01-31 06:00:00,276,7,2,28,0,11.2,5.5,2.1,0,0,0,0,0,0,1,0,1,0
