ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-24 15:00:00,7,16,93,538,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 08:00:00,9,9,30,14,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-16 13:00:00,7,14,107,9,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-11 16:00:00,9,17,67,8,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-16 08:00:00,9,9,10,7,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-04 09:00:00,7,10,22,2,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-29 21:00:00,9,22,233,5,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 06:00:00,7,7,9,1,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-29 16:00:00,6,17,182,65,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 08:00:00,6,9,9,9,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-15 10:00:00,5,11,21,732,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 09:00:00,6,10,16,1022,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-09 07:00:00,6,8,18,974,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-09 11:00:00,6,12,38,592,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-06 05:00:00,5,6,16,110,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-11 18:00:00,6,19,40,4,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 16:00:00,5,17,80,37,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 17:00:00,5,18,28,504,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-15 19:00:00,5,20,20,413,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 21:00:00,6,22,80,3,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-12 17:00:00,6,18,99,1,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 08:00:00,5,9,18,933,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 09:00:00,5,10,105,20,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-11 06:00:00,5,7,19,19,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 20:00:00,5,21,131,11,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-07 18:00:00,5,19,40,9,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-11 17:00:00,5,18,67,9,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 08:00:00,5,9,18,7,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 07:00:00,5,8,52,6,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 07:00:00,5,8,22,4,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-25 10:00:00,5,11,20,1,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 19:00:00,5,20,8,1,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-25 08:00:00,5,9,2,0,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 21:00:00,4,22,80,185,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-10 07:00:00,4,8,2,9,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-06 06:00:00,3,7,8,240,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-08 12:00:00,4,13,8,1076,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-02 08:00:00,4,9,4,5,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-05 12:00:00,4,13,229,4,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-23 15:00:00,4,16,77,875,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-01 07:00:00,4,8,6,4,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-14 13:00:00,4,14,9,802,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-04 12:00:00,4,13,149,4,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 15:00:00,4,16,96,4,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 12:00:00,4,13,42,4,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-02 06:00:00,4,7,0,3,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-07 13:00:00,4,14,42,2,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 13:00:00,4,14,44,1,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-11 20:00:00,4,21,15,0,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 14:00:00,3,15,11,1121,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-08 11:00:00,3,12,4,1075,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 14:00:00,4,15,320,64,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-05 21:00:00,4,22,370,34,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
