ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-12-10 07:00:00,128,8,10,10,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-11 06:00:00,232,7,4,39,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-10 02:00:00,171,3,2,6,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 08:00:00,149,9,2,32,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 05:00:00,72,6,1,10,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 09:00:00,425,10,9,44,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-11 00:00:00,126,1,4,14,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 05:00:00,119,6,4,10,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-09 08:00:00,383,9,0,80,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1,0
2023-12-09 06:00:00,123,7,0,4,0,7.1,5.5,5.8,0,0,1,0,0,0,0,0,1,0
2023-12-11 20:00:00,476,21,3,158,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-10 00:00:00,9,1,1,7,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 17:00:00,670,18,7,119,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-11 22:00:00,272,23,3,81,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-10 21:00:00,2,22,1,6,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-10 03:00:00,153,4,4,11,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-11 02:00:00,74,3,2,10,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 04:00:00,50,5,2,5,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-11 03:00:00,46,4,2,7,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-10 04:00:00,62,5,0,7,0,6.8,0.9,2.0,0,0,0,1,0,0,0,0,1,0
2023-12-12 06:00:00,105,7,2,16,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-11 23:00:00,170,0,1,21,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-12 00:00:00,115,1,0,12,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-13 05:00:00,114,6,4,26,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 22:00:00,305,23,12,35,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-12 21:00:00,412,22,8,66,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-11 01:00:00,82,2,1,7,0,7.1,3.4,5.6,0,1,0,0,0,0,0,0,1,0
2023-12-13 20:00:00,516,21,11,85,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 06:00:00,219,7,3,46,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-12 01:00:00,38,2,0,7,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 03:00:00,0,4,0,3,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 04:00:00,0,5,0,3,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 23:00:00,169,0,5,32,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-13 14:00:00,947,15,138,344,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 15:00:00,1112,16,106,280,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-12 13:00:00,1006,14,60,245,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 12:00:00,982,13,59,299,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 14:00:00,890,15,53,265,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 10:00:00,842,11,45,337,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 16:00:00,976,17,43,138,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 15:00:00,881,16,36,223,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 11:00:00,924,12,34,341,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 09:00:00,963,10,29,266,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 19:00:00,623,20,28,55,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 17:00:00,818,18,27,80,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 18:00:00,744,19,26,64,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 07:00:00,517,8,17,31,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 20:00:00,488,21,14,50,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-12 08:00:00,889,9,12,221,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-13 16:00:00,1255,17,75,215,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 13:00:00,1004,14,71,500,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 12:00:00,990,13,70,441,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 11:00:00,930,12,58,492,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 02:00:00,59,3,2,11,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 17:00:00,1138,18,56,175,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 21:00:00,470,22,7,56,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-12 02:00:00,2,3,0,10,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-13 10:00:00,842,11,54,505,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 09:00:00,948,10,47,413,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-12 22:00:00,300,23,4,31,0,6.0,5.4,12.3,0,0,0,0,0,1,0,0,1,0
2023-12-13 19:00:00,723,20,30,99,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 08:00:00,1008,9,28,367,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 23:00:00,217,0,1,29,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 18:00:00,912,19,27,93,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 01:00:00,106,2,1,21,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 03:00:00,28,4,1,4,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-13 07:00:00,552,8,17,65,0,8.5,5.5,1.3,0,0,0,0,0,0,1,0,1,0
2023-12-14 06:00:00,231,7,3,70,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
2023-12-15 15:00:00,987,16,36,435,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 11:00:00,1017,12,31,427,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 10:00:00,1051,11,8,413,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 13:00:00,1183,14,30,445,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-14 14:00:00,997,15,139,302,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
2023-12-15 14:00:00,1086,15,19,541,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 20:00:00,669,21,18,122,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 07:00:00,565,8,18,45,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 09:00:00,992,10,13,483,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 22:00:00,549,23,12,55,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-15 18:00:00,757,19,11,193,0,11.3,5.2,0.0,1,0,0,0,0,0,0,0,1,0
2023-12-14 15:00:00,1016,16,117,294,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
2023-12-14 13:00:00,997,14,99,325,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
2023-12-14 16:00:00,1092,17,74,119,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
2023-12-14 17:00:00,1248,18,55,124,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
2023-12-14 10:00:00,852,11,44,255,0,11.3,2.7,0.1,0,0,0,0,1,0,0,0,1,0
