ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-09-26 15:00:00,57,16,345,1984,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 02:00:00,0,3,8,47,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 08:00:00,56,9,211,2391,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 13:00:00,33,14,446,1624,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 14:00:00,54,15,326,1822,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 16:00:00,51,17,356,2702,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 11:00:00,22,12,310,2106,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 19:00:00,20,20,223,764,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 07:00:00,18,8,120,1804,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 05:00:00,5,6,17,150,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 04:00:00,3,5,3,62,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 23:00:00,2,0,51,185,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 21:00:00,1,22,152,476,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 03:00:00,0,4,3,46,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 23:00:00,2,0,60,155,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 03:00:00,0,4,6,24,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-28 15:00:00,63,16,391,2100,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-28 17:00:00,59,18,295,2905,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-28 16:00:00,54,17,374,2969,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-28 09:00:00,46,10,241,1925,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-28 14:00:00,44,15,367,1973,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-28 13:00:00,40,14,396,1955,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-28 12:00:00,30,13,355,2045,0,16.9,11.1,0.5,0,0,0,0,1,0,0,1,0,0
2023-09-26 02:00:00,0,3,1,44,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 06:00:00,11,7,69,580,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 01:00:00,0,2,6,42,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 12:00:00,41,13,391,2070,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 00:00:00,1,1,22,93,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 04:00:00,1,5,6,62,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 05:00:00,0,6,21,138,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 09:00:00,31,10,189,1215,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 10:00:00,30,11,242,1922,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 18:00:00,28,19,290,2033,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-26 22:00:00,7,23,113,362,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 15:00:00,143,16,481,2269,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 07:00:00,21,8,113,1864,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 17:00:00,137,18,328,1950,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 16:00:00,113,17,407,2335,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 14:00:00,60,15,434,2146,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 18:00:00,48,19,310,1992,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 08:00:00,45,9,190,2689,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 09:00:00,44,10,248,1982,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-27 22:00:00,5,23,87,226,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
2023-09-26 11:00:00,16,12,296,1889,0,15.1,11.4,0.5,0,0,0,0,0,1,0,1,0,0
2023-09-27 21:00:00,4,22,127,330,0,15.6,6.3,9.4,0,0,0,0,0,0,1,1,0,0
