ds,y,Finishing time,Number of People,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-01 14:00:00,10,15,404,1422,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-27 16:00:00,10,17,348,1421,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-24 20:00:00,9,21,340,963,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-12 09:00:00,10,10,357,1408,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-01 13:00:00,10,14,403,1383,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-09 07:00:00,9,8,138,854,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-12 19:00:00,10,20,321,1359,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-07 20:00:00,9,21,341,824,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-01 18:00:00,10,19,375,1302,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-01 10:00:00,10,11,292,1294,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-30 21:00:00,9,22,182,813,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-02 19:00:00,10,20,440,1272,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-09 11:00:00,10,12,413,1258,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-25 14:00:00,10,15,377,1137,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-14 17:00:00,10,18,289,1113,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 19:00:00,10,20,343,961,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-06 08:00:00,10,9,229,748,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-14 22:00:00,10,23,385,652,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-14 09:00:00,10,10,128,597,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 11:00:00,9,12,194,727,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-09 10:00:00,11,11,425,1320,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-28 17:00:00,11,18,363,1157,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-03 13:00:00,11,14,254,1073,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-27 17:00:00,11,18,570,910,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-08 07:00:00,11,8,158,886,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-28 00:00:00,11,1,385,582,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-06 15:00:00,12,16,411,1471,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-08 11:00:00,12,12,366,1439,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-08 13:00:00,12,14,494,1417,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-14 15:00:00,12,16,343,1228,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-27 10:00:00,12,11,185,1226,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-14 16:00:00,12,17,456,1180,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-07 15:00:00,12,16,254,1102,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-15 20:00:00,12,21,327,966,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-01 20:00:00,12,21,357,808,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-10 17:00:00,10,18,413,1957,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-26 16:00:00,10,17,410,1936,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-30 17:00:00,10,18,387,1836,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-05 15:00:00,10,16,472,1742,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-26 11:00:00,10,12,291,1689,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-15 16:00:00,10,17,490,1627,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-10 10:00:00,10,11,273,1589,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-27 12:00:00,10,13,356,1542,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-30 16:00:00,8,17,439,1999,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-11 16:00:00,8,17,316,1966,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 15:00:00,8,16,378,1874,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-04 10:00:00,8,11,280,1635,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-04 13:00:00,8,14,465,1627,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-27 13:00:00,8,14,357,1563,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-02 13:00:00,8,14,417,1549,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-06 11:00:00,8,12,320,1545,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-02 11:00:00,8,12,345,1513,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-30 13:00:00,8,14,619,1503,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
