ds,y,Finishing time,Number of Bicycles,Number of People,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2023-08-23 05:00:00,16,6,1,83,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 02:00:00,12,3,1,89,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-23 04:00:00,4,5,1,8,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-31 07:00:00,93,8,15,227,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-23 03:00:00,4,4,0,46,0,19.5,9.3,3.6,0,0,0,0,0,0,1,1,0,0
2023-08-24 12:00:00,228,13,84,2509,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 17:00:00,209,18,55,1497,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 16:00:00,217,17,50,1757,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 11:00:00,221,12,47,1709,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 15:00:00,219,16,46,1494,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 10:00:00,169,11,39,1573,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 18:00:00,260,19,38,1225,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 20:00:00,33,21,35,674,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 14:00:00,138,15,31,2369,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 08:00:00,307,9,23,829,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 19:00:00,104,20,23,1018,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 13:00:00,98,14,20,1927,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 09:00:00,208,10,12,1132,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 07:00:00,83,8,11,333,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 00:00:00,49,1,10,227,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 06:00:00,38,7,9,214,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 23:00:00,39,0,3,435,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 21:00:00,24,22,3,569,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 03:00:00,9,4,2,137,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 22:00:00,56,23,1,497,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 02:00:00,32,3,1,181,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 01:00:00,38,2,0,121,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 05:00:00,13,6,0,91,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-24 04:00:00,4,5,0,11,0,17.9,12.1,0.0,0,0,0,0,1,0,0,1,0,0
2023-08-25 12:00:00,218,13,134,2209,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-25 11:00:00,207,12,74,1879,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-25 10:00:00,242,11,57,1531,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-29 13:00:00,86,14,27,1628,0,19.0,10.5,0.0,0,0,0,0,0,1,0,1,0,0
2023-08-27 10:00:00,108,11,27,648,0,18.6,5.5,4.8,0,0,0,1,0,0,0,1,0,0
2023-08-25 13:00:00,155,14,49,2584,0,18.5,8.9,0.0,1,0,0,0,0,0,0,1,0,0
2023-08-31 15:00:00,58,16,15,1658,0,17.8,7.5,0.0,0,0,0,0,1,0,0,1,0,0
