ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-11 16:00:00,1945,17,19,10,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-28 10:00:00,796,11,19,9,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-02 16:00:00,1762,17,19,4,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-06 20:00:00,221,21,19,2,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-29 14:00:00,2622,15,22,50,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 12:00:00,3046,13,22,47,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-15 14:00:00,2724,15,22,38,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 14:00:00,2380,15,22,31,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-11 13:00:00,1785,14,22,31,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 16:00:00,1715,17,22,14,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-11 10:00:00,1301,11,22,13,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-27 12:00:00,2694,13,22,11,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-06 16:00:00,2247,17,22,10,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-05 11:00:00,1813,12,22,9,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-12 11:00:00,1946,12,22,8,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 13:00:00,2271,14,22,6,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-11 14:00:00,1533,15,20,87,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
