ds,y,Finishing time,Number of Bicycles,Number of Road Vehicles,isHoliday,TMAX,TMIN,PRCP,Day of the Week_Fri,Day of the Week_Mon,Day of the Week_Sat,Day of the Week_Sun,Day of the Week_Thu,Day of the Week_Tue,Day of the Week_Wed,TimeZone_BST,TimeZone_GMT,days_since_record
2024-07-02 17:00:00,185,18,31,1035,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-10 15:00:00,543,16,31,983,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-07 13:00:00,325,14,31,820,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-31 09:00:00,536,10,31,798,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-12 19:00:00,139,20,31,758,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-04 20:00:00,161,21,31,686,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-26 08:00:00,526,9,30,956,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-31 08:00:00,514,9,30,932,0,22.9,7.9,0.3,0,0,0,0,0,0,1,1,0,0
2024-07-29 11:00:00,445,12,30,881,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-07 17:00:00,503,18,30,835,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-30 10:00:00,488,11,30,796,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-04 08:00:00,507,9,29,1131,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-09 09:00:00,702,10,29,863,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 17:00:00,458,18,42,1394,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-15 16:00:00,351,17,42,1298,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 16:00:00,264,17,42,1036,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-12 17:00:00,341,18,42,982,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-27 18:00:00,291,19,42,981,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-27 17:00:00,340,18,42,951,0,22.0,5.5,0.0,0,0,1,0,0,0,0,1,0,0
2024-07-08 18:00:00,294,19,42,810,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 18:00:00,282,19,42,685,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-12 21:00:00,126,22,42,526,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-02 16:00:00,320,17,40,1051,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-24 15:00:00,149,16,40,1031,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-23 15:00:00,442,16,40,938,0,20.1,12.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-29 16:00:00,348,17,40,883,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-25 12:00:00,340,13,39,1196,0,19.8,12.4,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-03 15:00:00,405,16,39,1169,0,16.2,8.1,0.6,0,0,0,0,0,0,1,1,0,0
2024-07-29 15:00:00,379,16,39,954,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-12 14:00:00,225,15,39,944,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-01 10:00:00,281,11,39,815,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-14 17:00:00,306,18,39,718,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-08 15:00:00,432,16,38,1051,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-13 16:00:00,344,17,38,849,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-14 18:00:00,239,19,38,771,0,20.1,5.5,0.4,0,0,0,1,0,0,0,1,0,0
2024-07-11 14:00:00,178,15,25,1141,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-10 14:00:00,923,15,25,1056,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
2024-07-15 14:00:00,268,15,25,884,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-16 12:00:00,496,13,25,828,0,21.9,12.6,0.8,0,0,0,0,0,1,0,1,0,0
2024-07-09 11:00:00,874,12,25,795,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-28 15:00:00,403,16,25,794,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-09 19:00:00,177,20,25,648,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-05 12:00:00,148,13,24,1199,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-09 15:00:00,189,16,24,1172,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-04 17:00:00,372,18,24,1134,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-05 09:00:00,247,10,24,1128,0,15.2,6.8,3.2,1,0,0,0,0,0,0,1,0,0
2024-07-28 13:00:00,405,14,24,1116,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-08 13:00:00,361,14,24,1101,0,16.9,7.0,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 14:00:00,317,15,24,920,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-11 15:00:00,171,16,24,870,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-15 18:00:00,434,19,24,837,0,19.2,10.6,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-29 09:00:00,392,10,24,815,0,21.6,5.5,0.0,0,1,0,0,0,0,0,1,0,0
2024-07-30 11:00:00,376,12,24,801,0,11.2,5.5,0.2,0,0,0,0,0,1,0,1,0,0
2024-07-26 20:00:00,151,21,24,755,0,20.9,9.0,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-02 07:00:00,167,8,24,711,0,18.1,8.4,1.5,0,0,0,0,0,1,0,1,0,0
2024-07-11 20:00:00,290,21,24,709,0,18.6,10.6,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-13 11:00:00,135,12,23,1325,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-24 14:00:00,262,15,23,993,0,18.9,12.5,0.8,0,0,0,0,0,0,1,1,0,0
2024-07-06 13:00:00,188,14,23,985,0,16.7,8.4,5.9,0,0,1,0,0,0,0,1,0,0
2024-07-01 08:00:00,347,9,23,923,0,16.7,8.5,1.0,0,1,0,0,0,0,0,1,0,90
2024-07-13 18:00:00,220,19,23,814,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-12 20:00:00,160,21,23,718,0,16.3,9.2,0.0,1,0,0,0,0,0,0,1,0,0
2024-07-09 14:00:00,515,15,23,706,0,16.7,10.8,2.6,0,0,0,0,0,1,0,1,0,0
2024-07-07 16:00:00,394,17,23,636,0,19.4,8.4,2.8,0,0,0,1,0,0,0,1,0,0
2024-07-04 21:00:00,160,22,23,530,0,17.5,6.9,0.0,0,0,0,0,1,0,0,1,0,0
2024-07-28 18:00:00,195,19,23,480,0,20.3,5.5,0.0,0,0,0,1,0,0,0,1,0,0
2024-07-13 13:00:00,141,14,18,1327,0,18.5,5.5,0.4,0,0,1,0,0,0,0,1,0,0
2024-07-10 08:00:00,218,9,18,1135,0,16.6,11.2,1.1,0,0,0,0,0,0,1,1,0,0
