Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Tue,2024/03/12 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,49,809,2933,100
Fri,2024/03/01 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,29,2466,6,101
Tue,2024/03/12 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,28,969,2788,102
Fri,2024/03/29 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,28,1064,2635,103
Sat,2024/03/23 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,28,1463,2552,104
Thu,2024/03/07 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,28,907,2424,105
Wed,2024/03/13 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,28,1284,2359,106
Mon,2024/03/11 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,28,777,2195,107
Mon,2024/03/11 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,28,736,2081,108
Sun,2024/03/03 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,28,740,1995,109
Fri,2024/03/01 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,28,754,1956,110
Thu,2024/03/14 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,28,447,1914,111
Sun,2024/03/24 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,28,570,1401,112
Sat,2024/03/23 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,28,260,1166,113
Tue,2024/03/12 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,28,57,1138,114
Wed,2024/03/06 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,28,433,1137,115
Sat,2024/03/16 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,28,996,1126,116
Sat,2024/03/02 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,28,329,1051,117
