Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Fri,2023/11/24 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,19,22,4652
Sat,2023/11/25 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,5,3941,14,4653
Sun,2023/11/26 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,0,99,261,4654
Sun,2023/11/26 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,0,106,250,4655
Sun,2023/11/26 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,156,200,4656
Sun,2023/11/26 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,245,195,4657
Sun,2023/11/26 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,0,33,184,4658
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,202,178,4659
Sun,2023/11/26 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,132,146,4660
Sun,2023/11/26 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,0,137,137,4661
Sun,2023/11/26 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,0,276,129,4662
Sun,2023/11/26 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,0,32,124,4663
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,332,102,4664
Sun,2023/11/26 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,12,99,4665
Sun,2023/11/26 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,36,93,4666
Sun,2023/11/26 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,0,511,91,4667
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,129,87,4668
Sun,2023/11/26 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,68,87,4669
Sun,2023/11/26 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,27,75,4670
Sun,2023/11/26 00:00:00+00,7:00 AM-8:00 AM,Camera 332 Waterfront,0,57,74,4671
Sun,2023/11/26 00:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,12,74,4672
Sun,2023/11/26 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,71,67,4673
Sun,2023/11/26 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,48,54,4674
Sun,2023/11/26 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,194,50,4675
Sun,2023/11/26 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,118,48,4676
Sun,2023/11/26 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,299,45,4677
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,0,27,39,4678
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,0,316,38,4679
Sun,2023/11/26 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,0,37,36,4680
Sun,2023/11/26 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,27,34,4681
Sun,2023/11/26 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,0,31,32,4682
Sun,2023/11/26 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,17,30,4683
Sun,2023/11/26 00:00:00+00,12:00 AM-1:00 AM,Camera 332 Waterfront,0,39,29,4684
Sun,2023/11/26 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,5,29,4685
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,67,23,4686
Sun,2023/11/26 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,105,22,4687
Sun,2023/11/26 00:00:00+00,1:00 AM-2:00 AM,Camera 332 Waterfront,0,15,21,4688
Sun,2023/11/26 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,0,72,19,4689
Sun,2023/11/26 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,0,73,17,4690
Sat,2023/11/25 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,4,354,1392,4691
Fri,2023/11/24 00:00:00+00,2:00 AM-3:00 AM,Camera 332 Waterfront,0,4,20,4692
Sun,2023/11/26 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,10,1987,13,4693
Sat,2023/11/25 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,4,1258,1289,4694
Fri,2023/11/24 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,11,19,4695
Sun,2023/11/26 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,10,803,3,4696
