Day,Date,Hour,Source,Number_of_Bicycles_,Number_of_People,Number_of_Road_Vehicles,FID
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,2,46,109,1
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,2,130,102,2
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,2,196,77,3
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,2,15,66,4
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,2,374,17,5
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,2,66,65,6
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,2,1073,38,7
Thu,2023/11/02 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,2,541,14,8
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,2,35,9,9
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,2,285,20,10
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,2,432,16,11
Thu,2023/11/02 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,2,355,6,12
Thu,2023/11/02 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,2,300,6,13
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,2,202,16,14
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,2,350,10,15
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,1,326,985,16
Thu,2023/11/02 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,1,827,410,17
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,2,102,10,18
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,2,490,8,19
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,1,45,156,20
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,1,0,152,21
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,2,680,4,22
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,1,13,781,23
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,1,24,123,24
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,1,20,776,25
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,1,305,105,26
Thu,2023/11/02 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,264,61,27
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,1,64,498,28
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,1,254,45,29
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,1,517,377,30
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,1,141,39,31
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,1,95,327,32
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,1,428,258,33
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,1,350,36,34
Thu,2023/11/02 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,1,569,25,35
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,1,846,211,36
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,1,352,23,37
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,1,94,199,38
Thu,2023/11/02 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,1,280,20,39
Thu,2023/11/02 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,1,613,9,40
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,1,23,186,41
Thu,2023/11/02 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,1,126,7,42
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,1,400,159,43
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,1,445,6,44
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,1,245,5,45
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,1,21,157,46
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,1,142,0,47
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,1,95,82,48
Thu,2023/11/02 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,0,325,514,49
Thu,2023/11/02 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,0,147,377,50
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,1,574,51,51
Thu,2023/11/02 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,164,314,52
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,1,47,49,53
Thu,2023/11/02 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,0,634,278,54
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,1,332,34,55
Thu,2023/11/02 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,80,277,56
Thu,2023/11/02 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,32,242,57
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,1,1219,22,58
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,1,530,20,59
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,36,210,60
Thu,2023/11/02 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,56,203,61
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,1,791,15,62
Thu,2023/11/02 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,699,199,63
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,1,225,14,64
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,519,158,65
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,1,207,14,66
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,0,36,155,67
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,1,224,10,68
Thu,2023/11/02 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,0,122,152,69
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,1,114,10,70
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,34,143,71
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,1,93,8,72
Thu,2023/11/02 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,0,21,137,73
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,1,302,5,74
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,0,92,125,75
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,1,16,5,76
Thu,2023/11/02 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,5,121,77
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,1,103,4,78
Thu,2023/11/02 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,83,95,79
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,1,29,1,80
Thu,2023/11/02 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,21,93,81
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,1,56,0,82
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,19,92,83
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,0,84,665,84
Thu,2023/11/02 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,234,86,85
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,0,55,464,86
Thu,2023/11/02 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,91,75,87
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,0,84,367,88
Thu,2023/11/02 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,0,92,74,89
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,0,484,348,90
Thu,2023/11/02 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,20,69,91
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,0,551,320,92
Thu,2023/11/02 00:00:00+00,12:00 AM-1:00 AM,Camera 332 Waterfront,0,6,68,93
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,0,973,303,94
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,0,508,247,95
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,799,245,96
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,0,16,230,97
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,19,189,98
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,52,163,99
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,0,11,153,100
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,50,384,1371,101
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,41,164,1231,102
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,33,268,1068,103
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,30,145,1287,104
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,29,569,2460,105
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,27,451,1263,106
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,27,1031,428,107
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,26,367,1354,108
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,20,767,1501,109
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,20,279,1078,110
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,20,291,1036,111
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,18,721,9,112
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,17,605,1659,113
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,17,814,12,114
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,16,800,1896,115
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,16,294,1303,116
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,16,473,1263,117
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,16,1825,11,118
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,15,565,2011,119
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,15,446,1240,120
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,15,1847,18,121
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,15,1928,8,122
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,14,219,1631,123
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,14,734,1581,124
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,14,1304,91,125
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,13,944,1683,126
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,13,1708,67,127
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,13,1645,18,128
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,12,954,888,129
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,12,808,352,130
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,12,587,132,131
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,12,1498,47,132
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,11,692,1764,133
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,11,721,1487,134
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,11,143,732,135
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,11,894,252,136
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,11,1364,106,137
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,11,1311,9,138
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,10,759,1530,139
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,10,509,1368,140
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,10,281,1071,141
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 317 Reform St,9,1562,20,142
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,8,258,1209,143
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,8,41,350,144
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,8,30,157,145
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,8,773,8,146
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,7,43,1058,147
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,7,1028,308,148
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,7,341,91,149
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,7,1094,8,150
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,6,499,1977,151
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,6,330,1816,152
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,6,616,1458,153
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 332 Waterfront,6,38,1034,154
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,6,30,893,155
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,6,216,529,156
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,6,1535,172,157
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,6,24,153,158
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,6,38,118,159
Wed,2023/11/01 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,6,645,13,160
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,5,258,1300,161
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,5,275,1210,162
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,5,706,761,163
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,5,867,308,164
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,5,1053,201,165
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,5,901,20,166
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,4,387,993,167
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,4,107,700,168
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,4,196,315,169
Wed,2023/11/01 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,4,606,308,170
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,4,561,292,171
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,4,23,146,172
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 332 Waterfront,4,10,63,173
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,4,713,14,174
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,3,55,1285,175
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,3,151,907,176
Wed,2023/11/01 00:00:00+00,10:00 AM-11:00 AM,Camera 332 Waterfront,3,22,804,177
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,0,290,137,178
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,3,148,654,179
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,3,77,575,180
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,3,118,469,181
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,3,27,285,182
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,3,1212,226,183
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,3,53,189,184
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,3,1101,34,185
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,3,992,15,186
Wed,2023/11/01 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,3,237,9,187
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,2,93,960,188
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,2,27,916,189
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,2,15,815,190
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,2,248,772,191
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,2,301,662,192
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,2,185,539,193
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,2,84,474,194
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,2,617,312,195
Wed,2023/11/01 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,2,734,291,196
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,2,45,283,197
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,2,36,275,198
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,2,70,132,199
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,2,9,117,200
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,2,59,104,201
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,182,136,202
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,180,134,203
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,264,130,204
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,7,117,205
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,195,85,206
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,0,17,83,207
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,0,41,76,208
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,76,74,209
Wed,2023/11/01 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,0,62,74,210
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,91,59,211
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,127,57,212
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,203,52,213
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 332 Waterfront,0,5,48,214
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 332 Waterfront,0,5,36,215
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,0,51,32,216
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 332 Waterfront,0,12,30,217
Wed,2023/11/01 00:00:00+00,1:00 AM-2:00 AM,Camera 332 Waterfront,0,5,29,218
Wed,2023/11/01 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,0,516,20,219
Wed,2023/11/01 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,0,373,20,220
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,0,141,18,221
Wed,2023/11/01 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,0,226,14,222
Wed,2023/11/01 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,0,1389,13,223
Wed,2023/11/01 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,0,309,13,224
Wed,2023/11/01 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,0,238,13,225
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,0,220,13,226
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,0,86,11,227
Wed,2023/11/01 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,0,74,4,228
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,59,4,229
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,45,4,230
Wed,2023/11/01 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,0,144,3,231
Wed,2023/11/01 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,79,3,232
Wed,2023/11/01 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,0,68,3,233
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,63,3,234
Wed,2023/11/01 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,0,63,3,235
Thu,2023/11/02 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,7,172,19,236
Wed,2023/11/01 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,0,38,3,237
Wed,2023/11/01 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,48,2,238
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,6,2,239
Wed,2023/11/01 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,0,13,1,240
Wed,2023/11/01 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,44,0,241
Wed,2023/11/01 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,41,0,242
Thu,2023/11/02 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,6,695,1761,243
Wed,2023/11/01 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,9,0,244
Thu,2023/11/02 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,39,1024,1430,245
Thu,2023/11/02 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,38,2922,12,246
Thu,2023/11/02 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,30,3835,11,247
Thu,2023/11/02 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,29,1016,2024,248
Thu,2023/11/02 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,29,914,1660,249
Thu,2023/11/02 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,28,996,2244,250
Thu,2023/11/02 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,28,3036,17,251
Thu,2023/11/02 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,25,79,1964,252
Thu,2023/11/02 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,6,68,1447,253
Thu,2023/11/02 00:00:00+00,11:00 AM-12:00 PM,Camera 332 Waterfront,6,56,1286,254
Thu,2023/11/02 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,6,1049,482,255
Thu,2023/11/02 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,6,753,184,256
Thu,2023/11/02 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,5,574,2082,257
Thu,2023/11/02 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,5,760,2039,258
Thu,2023/11/02 00:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,5,1191,2032,259
Thu,2023/11/02 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,5,470,1351,260
Thu,2023/11/02 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,5,1036,449,261
Thu,2023/11/02 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,5,1746,186,262
Thu,2023/11/02 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,5,2714,106,263
