Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,19,17,2861
Tue,2024/01/16 00:00:00+00,3:00 AM-4:00 AM,Camera 332 Waterfront,0,1,16,2862
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,0,1,16,2863
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,8,14,2864
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,0,64,6,2865
Tue,2024/01/16 00:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,67,5,2866
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,18,3,2867
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,46,2,2868
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,17,2,2869
Tue,2024/01/16 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,0,16,2,2870
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,0,15,2,2871
Tue,2024/01/16 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,2,2,2872
Tue,2024/01/16 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,0,1,2873
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,12,0,2874
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,7,0,2875
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,60,263,1235,2876
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,44,656,222,2877
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,43,645,209,2878
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,27,289,1391,2879
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,27,201,751,2880
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,24,1570,259,2881
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,24,584,225,2882
Wed,2024/01/17 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,23,226,716,2883
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,23,214,689,2884
Wed,2024/01/17 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,22,496,247,2885
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,21,192,1029,2886
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,19,716,290,2887
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,18,575,1361,2888
Wed,2024/01/17 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,17,142,785,2889
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,17,1763,230,2890
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,15,257,699,2891
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,14,2025,3,2892
Wed,2024/01/17 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,13,266,715,2893
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,13,2173,26,2894
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,13,2149,8,2895
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,12,401,222,2896
Wed,2024/01/17 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,12,1093,162,2897
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,11,558,1506,2898
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,11,356,163,2899
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,10,820,2434,2900
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,10,494,2227,2901
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,10,553,1779,2902
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,10,341,916,2903
Wed,2024/01/17 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,10,1274,193,2904
Wed,2024/01/17 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,10,2291,187,2905
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 323 Union Street,10,625,157,2906
Wed,2024/01/17 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,9,209,723,2907
Tue,2024/01/16 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,25,2708,37,2908
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,2,572,1505,2909
Tue,2024/01/16 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,0,345,1419,2910
Tue,2024/01/16 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,17,784,2208,2911
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,9,804,174,2912
Tue,2024/01/16 00:00:00+00,7:00 AM-8:00 AM,Camera 332 Waterfront,5,41,135,2913
Tue,2024/01/16 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,24,722,891,2914
Wed,2024/01/17 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,2,145,538,2915
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,0,204,1024,2916
Tue,2024/01/16 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,15,771,1823,2917
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 323 Union Street,9,527,156,2918
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,8,693,1729,2919
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera 500 Hilltown,8,129,641,2920
Wed,2024/01/17 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,8,271,325,2921
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,7,629,1915,2922
Wed,2024/01/17 00:00:00+00,1:00 PM-2:00 PM,Camera 328 South Marketgait,7,702,1741,2923
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,7,537,1732,2924
Wed,2024/01/17 00:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,7,380,1731,2925
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,7,94,808,2926
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,7,1734,188,2927
Wed,2024/01/17 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,7,2169,7,2928
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,7,1663,4,2929
Wed,2024/01/17 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,6,355,1646,2930
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 320 Westport,6,478,1416,2931
Wed,2024/01/17 00:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,6,615,465,2932
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,6,400,157,2933
Wed,2024/01/17 00:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,6,2441,24,2934
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,5,665,2219,2935
Wed,2024/01/17 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,5,343,712,2936
Wed,2024/01/17 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,5,165,663,2937
Wed,2024/01/17 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,5,288,480,2938
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,5,772,423,2939
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,5,102,381,2940
Wed,2024/01/17 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,5,225,91,2941
Wed,2024/01/17 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,5,130,83,2942
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,5,990,56,2943
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,5,1583,31,2944
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,4,356,2075,2945
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,4,358,839,2946
Wed,2024/01/17 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,4,74,277,2947
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,4,416,155,2948
Wed,2024/01/17 00:00:00+00,1:00 PM-2:00 PM,Camera 323 Union Street,4,572,106,2949
Wed,2024/01/17 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,4,311,52,2950
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,3,446,1755,2951
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,3,532,1738,2952
Wed,2024/01/17 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,3,205,1258,2953
Wed,2024/01/17 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,3,373,1133,2954
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,3,292,837,2955
Wed,2024/01/17 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,3,188,607,2956
Wed,2024/01/17 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,3,141,447,2957
Wed,2024/01/17 00:00:00+00,1:00 PM-2:00 PM,Camera 310 - Seagate,3,1019,391,2958
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,3,829,354,2959
Wed,2024/01/17 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,3,45,323,2960
Wed,2024/01/17 00:00:00+00,7:00 AM-8:00 AM,Camera 332 Waterfront,3,89,250,2961
Wed,2024/01/17 00:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,3,529,201,2962
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,3,2079,192,2963
Tue,2024/01/16 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,23,473,236,2964
Wed,2024/01/17 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,2,87,463,2965
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,0,278,573,2966
Tue,2024/01/16 00:00:00+00,5:00 PM-6:00 PM,Camera 320 Westport,4,318,1861,2967
Tue,2024/01/16 00:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,22,2605,234,2968
Tue,2024/01/16 00:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,15,1601,276,2969
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,2,431,436,2970
Tue,2024/01/16 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,0,294,397,2971
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,4,266,716,2972
Tue,2024/01/16 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,21,346,219,2973
Tue,2024/01/16 00:00:00+00,11:00 AM-12:00 PM,Camera 317 Reform St,15,1753,234,2974
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,2,85,221,2975
Tue,2024/01/16 00:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,0,260,371,2976
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,0,125,369,2977
Tue,2024/01/16 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,260,317,2978
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,0,39,252,2979
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,18,251,2980
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,0,39,222,2981
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,29,220,2982
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,60,199,2983
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,18,171,2984
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,0,176,162,2985
Tue,2024/01/16 00:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,0,510,160,2986
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera 320 Westport,0,32,150,2987
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,0,11,131,2988
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,149,116,2989
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,12,112,2990
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,137,109,2991
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,65,98,2992
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,0,88,88,2993
Tue,2024/01/16 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,0,49,88,2994
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,65,81,2995
Tue,2024/01/16 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,6,68,2996
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,17,59,2997
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,20,55,2998
Tue,2024/01/16 00:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,0,9,55,2999
Tue,2024/01/16 00:00:00+00,2:00 AM-3:00 AM,Camera 500 Hilltown,0,10,52,3000
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 332 Waterfront,0,2,51,3001
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,0,733,48,3002
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,73,47,3003
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,0,497,45,3004
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,0,131,45,3005
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 332 Waterfront,0,5,42,3006
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,0,715,39,3007
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,0,84,37,3008
Tue,2024/01/16 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,8,36,3009
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 332 Waterfront,0,1,35,3010
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 323 Union Street,0,76,34,3011
Tue,2024/01/16 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,61,34,3012
Tue,2024/01/16 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,1,30,3013
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,21,28,3014
Tue,2024/01/16 00:00:00+00,2:00 AM-3:00 AM,Camera 332 Waterfront,0,3,26,3015
Tue,2024/01/16 00:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,21,1794,44,3016
Wed,2024/01/17 00:00:00+00,10:00 AM-11:00 AM,Camera 323 Union Street,2,399,166,3017
Tue,2024/01/16 00:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,15,650,17,3018
Tue,2024/01/16 00:00:00+00,10:00 AM-11:00 AM,Camera 310 - Seagate,4,591,300,3019
Tue,2024/01/16 00:00:00+00,1:00 PM-2:00 PM,Camera 320 Westport,20,1150,1424,3020
Wed,2024/01/17 00:00:00+00,11:00 PM-12:00 AM,Camera 500 Hilltown,2,16,158,3021
Tue,2024/01/16 00:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,14,101,719,3022
Tue,2024/01/16 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,4,745,240,3023
Tue,2024/01/16 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,20,137,471,3024
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,2,50,149,3025
Tue,2024/01/16 00:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,14,1128,208,3026
Tue,2024/01/16 00:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,4,347,164,3027
Tue,2024/01/16 00:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,20,1800,221,3028
Wed,2024/01/17 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,2,35,140,3029
Tue,2024/01/16 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,14,3241,49,3030
Tue,2024/01/16 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,4,331,59,3031
Tue,2024/01/16 00:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,19,550,1290,3032
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,2,353,136,3033
Tue,2024/01/16 00:00:00+00,12:00 PM-1:00 PM,Camera 320 Westport,13,1151,1433,3034
Tue,2024/01/16 00:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,4,1234,42,3035
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,3,302,770,3036
Tue,2024/01/16 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,3,122,751,3037
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 500 Hilltown,3,87,303,3038
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,3,103,293,3039
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,3,28,152,3040
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,3,188,118,3041
Tue,2024/01/16 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,3,186,67,3042
Tue,2024/01/16 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,3,595,52,3043
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,3,6,44,3044
Tue,2024/01/16 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,2,333,1574,3045
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,2,376,1365,3046
Tue,2024/01/16 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,2,55,1134,3047
Tue,2024/01/16 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,2,162,533,3048
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,2,141,456,3049
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,2,62,348,3050
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 500 Hilltown,2,28,329,3051
Tue,2024/01/16 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,2,37,293,3052
Tue,2024/01/16 00:00:00+00,9:00 AM-10:00 AM,Camera 310 - Seagate,2,461,287,3053
Tue,2024/01/16 00:00:00+00,1:00 AM-2:00 AM,Camera 500 Hilltown,2,7,89,3054
Tue,2024/01/16 00:00:00+00,11:00 PM-12:00 AM,Camera 317 Reform St,2,362,32,3055
Tue,2024/01/16 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,2,112,15,3056
Tue,2024/01/16 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,1,631,1518,3057
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 320 Westport,1,328,956,3058
Tue,2024/01/16 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,1,76,789,3059
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,1,220,438,3060
Tue,2024/01/16 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,1,42,323,3061
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,1,25,287,3062
Tue,2024/01/16 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,1,78,247,3063
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 310 - Seagate,1,200,245,3064
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,1,282,175,3065
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,23,162,3066
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera 323 Union Street,1,148,100,3067
Tue,2024/01/16 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,1,113,83,3068
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,1,98,82,3069
Tue,2024/01/16 00:00:00+00,4:00 AM-5:00 AM,Camera 328 South Marketgait,1,10,77,3070
Tue,2024/01/16 00:00:00+00,5:00 AM-6:00 AM,Camera 310 - Seagate,1,48,50,3071
Tue,2024/01/16 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,1,374,48,3072
Tue,2024/01/16 00:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,1,210,47,3073
Tue,2024/01/16 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,1,192,46,3074
Tue,2024/01/16 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,1,357,44,3075
Tue,2024/01/16 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,325,44,3076
Wed,2024/01/17 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,2,149,73,3077
Tue,2024/01/16 00:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,19,627,928,3078
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 332 Waterfront,2,63,38,3079
Wed,2024/01/17 00:00:00+00,6:00 AM-7:00 AM,Camera 317 Reform St,2,115,28,3080
Tue,2024/01/16 00:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,19,699,325,3081
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 332 Waterfront,2,229,23,3082
Wed,2024/01/17 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,2,153,23,3083
Wed,2024/01/17 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,2,788,16,3084
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 332 Waterfront,2,68,14,3085
Wed,2024/01/17 00:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,2,561,12,3086
Wed,2024/01/17 00:00:00+00,3:00 PM-4:00 PM,Camera 332 Waterfront,2,110,0,3087
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,1,551,1499,3088
Wed,2024/01/17 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,1,360,1443,3089
Wed,2024/01/17 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,1,366,1284,3090
Wed,2024/01/17 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,1,110,836,3091
Wed,2024/01/17 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,1,442,461,3092
Wed,2024/01/17 00:00:00+00,4:00 PM-5:00 PM,Camera 310 - Seagate,1,723,410,3093
Wed,2024/01/17 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,1,320,315,3094
Wed,2024/01/17 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,1,48,291,3095
Wed,2024/01/17 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,1,653,271,3096
Wed,2024/01/17 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,1,52,261,3097
Wed,2024/01/17 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,1,36,135,3098
Wed,2024/01/17 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,87,104,3099
Wed,2024/01/17 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,1,15,99,3100
Wed,2024/01/17 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,1,13,86,3101
Wed,2024/01/17 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,1,21,61,3102
Wed,2024/01/17 00:00:00+00,12:00 AM-1:00 AM,Camera 323 Union Street,1,107,60,3103
Wed,2024/01/17 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,1,56,38,3104
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,502,36,3105
Wed,2024/01/17 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,1,1537,33,3106
Wed,2024/01/17 00:00:00+00,12:00 AM-1:00 AM,Camera 317 Reform St,1,225,21,3107
Wed,2024/01/17 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,1,419,19,3108
Wed,2024/01/17 00:00:00+00,12:00 PM-1:00 PM,Camera 332 Waterfront,1,201,19,3109
Wed,2024/01/17 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,1,17,15,3110
Wed,2024/01/17 00:00:00+00,8:00 PM-9:00 PM,Camera 317 Reform St,1,665,14,3111
Tue,2024/01/16 00:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,13,610,1362,3112
Tue,2024/01/16 00:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,13,2398,269,3113
Tue,2024/01/16 00:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,12,794,1444,3114
Tue,2024/01/16 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,12,596,1052,3115
Tue,2024/01/16 00:00:00+00,1:00 PM-2:00 PM,Camera 332 Waterfront,12,131,464,3116
Tue,2024/01/16 00:00:00+00,7:00 AM-8:00 AM,Camera 317 Reform St,12,267,61,3117
Tue,2024/01/16 00:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,12,1495,31,3118
Tue,2024/01/16 00:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,12,1534,14,3119
