Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles_,FID
Mon,2024/01/01 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,43,148,82
Mon,2024/01/01 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,0,283,136,83
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,0,102,122,84
Mon,2024/01/01 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,0,39,109,85
Mon,2024/01/01 00:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,574,106,86
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,440,102,87
Mon,2024/01/01 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,305,100,88
Mon,2024/01/01 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,0,117,98,89
Mon,2024/01/01 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,0,95,97,90
Mon,2024/01/01 00:00:00+00,8:00 AM-9:00 AM,Camera 320 Westport,0,32,94,91
Mon,2024/01/01 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,41,91,92
Mon,2024/01/01 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,272,90,93
Mon,2024/01/01 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,0,29,89,94
Mon,2024/01/01 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,75,88,95
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 332 Waterfront,0,55,87,96
Mon,2024/01/01 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,320,85,97
Mon,2024/01/01 00:00:00+00,6:00 PM-7:00 PM,Camera 310 - Seagate,0,105,83,98
Mon,2024/01/01 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,27,82,99
