Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sat,2023/09/01 23:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,1,209,184,95
Sat,2023/09/01 23:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,1,355,167,96
Sat,2023/09/01 23:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,1,155,134,97
Sat,2023/09/01 23:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,1,25,133,98
Sat,2023/09/01 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,1,672,122,99
Sat,2023/09/01 23:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,1,386,95,100
Sat,2023/09/01 23:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,1,268,93,101
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,7,1889,15,102
Fri,2023/08/31 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,7,626,7,103
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,6,619,1609,104
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 310 - Seagate,6,1329,520,105
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,6,66,352,106
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 331 Railway Station,6,50,237,107
Fri,2023/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,6,1054,161,108
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 331 Railway Station,6,17,151,109
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 320 Westport,6,57,92,110
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 317 Reform St,6,1153,82,111
Fri,2023/08/31 23:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,6,94,20,112
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,6,467,17,113
Fri,2023/08/31 23:00:00+00,6:00 PM-7:00 PM,Camera 323 Union Street,6,676,7,114
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,6,30,4,115
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 320 Westport,5,329,687,116
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,5,387,586,117
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,5,708,153,118
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,5,230,148,119
Fri,2023/08/31 23:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,5,125,90,120
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,5,928,68,121
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,5,167,67,122
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera 323 Union Street,5,487,17,123
Fri,2023/08/31 23:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,5,1018,9,124
Fri,2023/08/31 23:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,4,235,1297,125
Fri,2023/08/31 23:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,4,93,199,126
Fri,2023/08/31 23:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,4,410,15,127
Fri,2023/08/31 23:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,4,553,12,128
Fri,2023/08/31 23:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,4,130,2,129
Fri,2023/08/31 23:00:00+00,3:00 PM-4:00 PM,Camera 320 Westport,3,423,1075,130
Fri,2023/08/31 23:00:00+00,2:00 PM-3:00 PM,Camera 320 Westport,3,196,719,131
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera 320 Westport,3,540,684,132
Fri,2023/08/31 23:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,3,171,248,133
Fri,2023/08/31 23:00:00+00,8:00 PM-9:00 PM,Camera 310 - Seagate,3,409,241,134
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 331 Railway Station,3,2,87,135
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,3,296,75,136
Fri,2023/08/31 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,3,261,22,137
Fri,2023/08/31 23:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,3,170,18,138
Fri,2023/08/31 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,3,284,5,139
Fri,2023/08/31 23:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,3,846,3,140
Fri,2023/08/31 23:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,2,136,26,141
Fri,2023/08/31 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,2,143,7,142
Fri,2023/08/31 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,2,108,7,143
Fri,2023/08/31 23:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,2,9,5,144
