Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Sun,2023/08/12 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,9,1448,3,184
Sun,2023/08/12 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,7,263,6,185
Sun,2023/08/12 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,6,1818,16,186
Sun,2023/08/12 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,6,1623,7,187
Sun,2023/08/12 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,6,263,3,188
Sun,2023/08/12 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,5,796,5,189
Sun,2023/08/12 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,5,495,5,190
Sun,2023/08/12 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,4,86,13,191
Sun,2023/08/12 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,3,245,8,192
Sun,2023/08/12 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,3,97,2,193
Sun,2023/08/12 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,2,464,62,194
Sun,2023/08/12 23:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,1,188,77,195
Sun,2023/08/12 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,1,576,74,196
Sun,2023/08/12 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,1,124,40,197
Sun,2023/08/12 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,1,43,12,198
Sun,2023/08/12 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,124,67,199
Sun,2023/08/12 23:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,108,57,200
Tue,2023/08/14 23:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,5,11,201
Tue,2023/08/14 23:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,8,9,202
Wed,2023/08/15 23:00:00+00,5:00 PM-6:00 PM,Camera  308 Murraygate,25,1323,10,203
Wed,2023/08/15 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,23,2027,11,204
Wed,2023/08/15 23:00:00+00,3:00 PM-4:00 PM,Camera  308 Murraygate,20,2179,10,205
Wed,2023/08/15 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,15,2704,18,206
Wed,2023/08/15 23:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,9,458,6,207
Wed,2023/08/15 23:00:00+00,9:00 AM-10:00 AM,Camera  308 Murraygate,8,1282,9,208
Wed,2023/08/15 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,7,2457,11,209
Wed,2023/08/15 23:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,7,309,9,210
Wed,2023/08/15 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,7,2985,8,211
Wed,2023/08/15 23:00:00+00,8:00 PM-9:00 PM,Camera  308 Murraygate,6,243,8,212
Wed,2023/08/15 23:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,5,201,18,213
Wed,2023/08/15 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,5,2877,13,214
Wed,2023/08/15 23:00:00+00,10:00 AM-11:00 AM,Camera  308 Murraygate,4,1965,19,215
Wed,2023/08/15 23:00:00+00,8:00 AM-9:00 AM,Camera  308 Murraygate,4,606,10,216
Wed,2023/08/15 23:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,4,37,5,217
Wed,2023/08/15 23:00:00+00,9:00 PM-10:00 PM,Camera  308 Murraygate,3,215,5,218
Wed,2023/08/15 23:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,2,107,27,219
Wed,2023/08/15 23:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,2,28,0,220
Wed,2023/08/15 23:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,1,61,42,221
Wed,2023/08/15 23:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,21,25,222
