Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sun,2023/12/31 00:00:00+00,4:00 PM-5:00 PM,Camera 320 Westport,2,277,64,5607
Sat,2023/12/30 00:00:00+00,6:00 AM-7:00 AM,Camera  308 Murraygate,0,57,11,5608
Sat,2023/12/30 00:00:00+00,9:00 AM-10:00 AM,Camera 323 Union Street,0,315,168,5609
Sun,2023/12/31 00:00:00+00,8:00 AM-9:00 AM,Camera 323 Union Street,2,84,45,5610
Sat,2023/12/30 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,0,411,10,5611
Sat,2023/12/30 00:00:00+00,2:00 PM-3:00 PM,Camera 310 - Seagate,0,677,164,5612
Sun,2023/12/31 00:00:00+00,3:00 AM-4:00 AM,Camera 317 Reform St,2,340,25,5613
Sat,2023/12/30 00:00:00+00,5:00 AM-6:00 AM,Camera  308 Murraygate,0,42,10,5614
Sat,2023/12/30 00:00:00+00,7:00 AM-8:00 AM,Camera 320 Westport,0,53,120,5615
Sun,2023/12/31 00:00:00+00,1:00 AM-2:00 AM,Camera 317 Reform St,2,248,19,5616
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera  308 Murraygate,0,13,9,5617
Sat,2023/12/30 00:00:00+00,4:00 PM-5:00 PM,Camera 332 Waterfront,0,24,118,5618
Sun,2023/12/31 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,2,1162,9,5619
Sat,2023/12/30 00:00:00+00,7:00 AM-8:00 AM,Camera  308 Murraygate,0,97,8,5620
Sat,2023/12/30 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,123,109,5621
Sun,2023/12/31 00:00:00+00,6:00 PM-7:00 PM,Camera  308 Murraygate,2,260,1,5622
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera 310 - Seagate,0,7,6,5623
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,0,6,106,5624
Sun,2023/12/31 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,34,121,5625
Sun,2023/12/31 00:00:00+00,11:00 AM-12:00 PM,Camera 320 Westport,1,315,939,5626
Sat,2023/12/30 00:00:00+00,6:00 PM-7:00 PM,Camera 332 Waterfront,0,5,6,5627
Sat,2023/12/30 00:00:00+00,5:00 AM-6:00 AM,Camera 500 Hilltown,0,13,104,5628
Sun,2023/12/31 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,0,109,108,5629
Sun,2023/12/31 00:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,1,531,831,5630
Sat,2023/12/30 00:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,0,1347,5,5631
Sat,2023/12/30 00:00:00+00,10:00 PM-11:00 PM,Camera 328 South Marketgait,0,362,88,5632
Sun,2023/12/31 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,123,102,5633
Sun,2023/12/31 00:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,12,121,313,5634
Sun,2023/12/31 00:00:00+00,10:00 AM-11:00 AM,Camera 320 Westport,1,268,760,5635
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera 317 Reform St,0,34,5,5636
Sat,2023/12/30 00:00:00+00,11:00 PM-12:00 AM,Camera 328 South Marketgait,0,272,88,5637
Sun,2023/12/31 00:00:00+00,1:00 AM-2:00 AM,Camera 328 South Marketgait,0,70,101,5638
Sun,2023/12/31 00:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,11,842,2155,5639
Sun,2023/12/31 00:00:00+00,8:00 PM-9:00 PM,Camera 328 South Marketgait,1,394,559,5640
Sat,2023/12/30 00:00:00+00,5:00 AM-6:00 AM,Camera 317 Reform St,0,52,4,5641
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera 328 South Marketgait,0,134,87,5642
Sun,2023/12/31 00:00:00+00,6:00 AM-7:00 AM,Camera 332 Waterfront,0,5,101,5643
Sun,2023/12/31 00:00:00+00,11:00 AM-12:00 PM,Camera 328 South Marketgait,11,614,1821,5644
Sun,2023/12/31 00:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,1,97,441,5645
Sat,2023/12/30 00:00:00+00,10:00 PM-11:00 PM,Camera 332 Waterfront,0,27,2,5646
Sat,2023/12/30 00:00:00+00,6:00 AM-7:00 AM,Camera 320 Westport,0,17,82,5647
Sun,2023/12/31 00:00:00+00,6:00 AM-7:00 AM,Camera 500 Hilltown,0,23,94,5648
Sun,2023/12/31 00:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,11,67,671,5649
Sun,2023/12/31 00:00:00+00,12:00 PM-1:00 PM,Camera 310 - Seagate,1,1367,381,5650
Sat,2023/12/30 00:00:00+00,7:00 PM-8:00 PM,Camera 332 Waterfront,0,7,2,5651
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera 323 Union Street,0,106,78,5652
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,198,77,5653
Sat,2023/12/30 00:00:00+00,1:00 AM-2:00 AM,Camera 310 - Seagate,0,192,75,5654
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,0,96,75,5655
Sat,2023/12/30 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,92,75,5656
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera 500 Hilltown,0,5,64,5657
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera 310 - Seagate,0,165,62,5658
Sat,2023/12/30 00:00:00+00,11:00 PM-12:00 AM,Camera 332 Waterfront,0,3,62,5659
Sat,2023/12/30 00:00:00+00,7:00 AM-8:00 AM,Camera 310 - Seagate,0,104,56,5660
Sat,2023/12/30 00:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,0,201,54,5661
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera  308 Murraygate,0,57,54,5662
Sat,2023/12/30 00:00:00+00,12:00 AM-1:00 AM,Camera 332 Waterfront,0,27,54,5663
Sat,2023/12/30 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,92,51,5664
Sat,2023/12/30 00:00:00+00,1:00 AM-2:00 AM,Camera  308 Murraygate,0,52,51,5665
Sat,2023/12/30 00:00:00+00,10:00 PM-11:00 PM,Camera  308 Murraygate,0,214,48,5666
Sat,2023/12/30 00:00:00+00,7:00 AM-8:00 AM,Camera 323 Union Street,0,55,48,5667
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera 323 Union Street,0,37,48,5668
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera 310 - Seagate,0,214,47,5669
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera 310 - Seagate,0,142,44,5670
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera  308 Murraygate,0,32,43,5671
Sat,2023/12/30 00:00:00+00,1:00 AM-2:00 AM,Camera 332 Waterfront,0,18,42,5672
Sat,2023/12/30 00:00:00+00,10:00 PM-11:00 PM,Camera 317 Reform St,0,647,39,5673
Sat,2023/12/30 00:00:00+00,5:00 AM-6:00 AM,Camera 328 South Marketgait,0,75,39,5674
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera 328 South Marketgait,0,29,35,5675
Sat,2023/12/30 00:00:00+00,6:00 AM-7:00 AM,Camera 328 South Marketgait,0,75,32,5676
Sat,2023/12/30 00:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,0,757,28,5677
Sat,2023/12/30 00:00:00+00,7:00 PM-8:00 PM,Camera  308 Murraygate,0,370,27,5678
Sat,2023/12/30 00:00:00+00,2:00 AM-3:00 AM,Camera 332 Waterfront,0,9,27,5679
Sat,2023/12/30 00:00:00+00,6:00 AM-7:00 AM,Camera 323 Union Street,0,25,26,5680
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera 332 Waterfront,0,8,26,5681
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera 332 Waterfront,0,5,26,5682
Sat,2023/12/30 00:00:00+00,5:00 AM-6:00 AM,Camera 323 Union Street,0,9,25,5683
Sat,2023/12/30 00:00:00+00,4:00 AM-5:00 AM,Camera 323 Union Street,0,11,20,5684
Sat,2023/12/30 00:00:00+00,3:00 AM-4:00 AM,Camera  308 Murraygate,0,18,19,5685
Sat,2023/12/30 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,0,335,18,5686
Sat,2023/12/30 00:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,0,1215,16,5687
Sat,2023/12/30 00:00:00+00,6:00 AM-7:00 AM,Camera 310 - Seagate,0,46,16,5688
Sat,2023/12/30 00:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,0,1101,14,5689
Sun,2023/12/31 00:00:00+00,11:00 PM-12:00 AM,Camera  308 Murraygate,0,344,87,5690
Sat,2023/12/30 00:00:00+00,5:00 PM-6:00 PM,Camera 332 Waterfront,0,13,1,5691
Sun,2023/12/31 00:00:00+00,3:00 PM-4:00 PM,Camera 310 - Seagate,1,1089,366,5692
Sun,2023/12/31 00:00:00+00,11:00 PM-12:00 AM,Camera 310 - Seagate,0,413,83,5693
Sat,2023/12/30 00:00:00+00,9:00 PM-10:00 PM,Camera 332 Waterfront,0,5,1,5694
Sun,2023/12/31 00:00:00+00,10:00 PM-11:00 PM,Camera 320 Westport,1,321,363,5695
Sun,2023/12/31 00:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,0,434,75,5696
Sat,2023/12/30 00:00:00+00,8:00 PM-9:00 PM,Camera 332 Waterfront,0,12,0,5697
Sun,2023/12/31 00:00:00+00,9:00 PM-10:00 PM,Camera 328 South Marketgait,1,291,359,5698
Sun,2023/12/31 00:00:00+00,12:00 AM-1:00 AM,Camera 328 South Marketgait,0,194,73,5699
Sun,2023/12/31 00:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,97,221,919,5700
Sun,2023/12/31 00:00:00+00,2:00 AM-3:00 AM,Camera 320 Westport,1,243,312,5701
Sun,2023/12/31 00:00:00+00,5:00 AM-6:00 AM,Camera 332 Waterfront,0,6,73,5702
Sun,2023/12/31 00:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,84,361,788,5703
Sun,2023/12/31 00:00:00+00,11:00 PM-12:00 AM,Camera 323 Union Street,11,605,237,5704
Sun,2023/12/31 00:00:00+00,12:00 AM-1:00 AM,Camera 500 Hilltown,1,25,302,5705
Sun,2023/12/31 00:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,0,184,71,5706
Sun,2023/12/31 00:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,55,287,898,5707
Sun,2023/12/31 00:00:00+00,10:00 PM-11:00 PM,Camera 323 Union Street,11,615,232,5708
Sun,2023/12/31 00:00:00+00,1:00 AM-2:00 AM,Camera 320 Westport,1,129,299,5709
Sun,2023/12/31 00:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,0,102,70,5710
Sun,2023/12/31 00:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,46,357,864,5711
Sun,2023/12/31 00:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,39,113,802,5712
Sun,2023/12/31 00:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,36,198,697,5713
Sun,2023/12/31 00:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,36,2420,12,5714
Sun,2023/12/31 00:00:00+00,7:00 PM-8:00 PM,Camera 323 Union Street,33,548,213,5715
Sun,2023/12/31 00:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,32,1976,13,5716
Sun,2023/12/31 00:00:00+00,5:00 PM-6:00 PM,Camera 323 Union Street,31,458,199,5717
Sun,2023/12/31 00:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,31,2373,16,5718
Sun,2023/12/31 00:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,28,681,226,5719
Sun,2023/12/31 00:00:00+00,3:00 PM-4:00 PM,Camera 323 Union Street,25,901,250,5720
