Day,Date,Hour,Source,F__of_Bicycles,F__of_People,F__of_Road_Vehicles,FID
Sun,2024/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,54,1706,2348,80
Sat,2024/09/06 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,32,1857,7,81
Sun,2024/09/28 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,32,1011,5,82
Tue,2024/09/23 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,31,1162,2777,83
Tue,2024/09/23 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,31,949,2421,84
Thu,2024/09/18 23:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,31,1160,2216,85
Mon,2024/09/08 23:00:00+00,9:00 AM-10:00 AM,Camera 328 South Marketgait,31,949,2072,86
Thu,2024/09/18 23:00:00+00,7:00 AM-8:00 AM,Camera 328 South Marketgait,31,417,1931,87
Sun,2024/09/14 23:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,31,969,1482,88
Tue,2024/09/02 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,31,592,1330,89
Mon,2024/09/29 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,31,216,1216,90
Thu,2024/09/18 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,31,640,1202,91
Tue,2024/09/02 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,31,279,1150,92
Tue,2024/09/09 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,31,566,1145,93
Fri,2024/09/19 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,31,462,1049,94
Sat,2024/09/27 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,31,522,1040,95
Wed,2024/09/17 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,31,472,862,96
Thu,2024/09/25 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,31,291,860,97
Tue,2024/09/16 23:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,31,161,779,98
Sun,2024/09/14 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,31,105,503,99
Mon,2024/09/22 23:00:00+00,4:00 PM-5:00 PM,Camera 323 Union Street,31,1656,285,100
Mon,2024/09/08 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,39,3798,87,101
Thu,2024/09/18 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,39,1323,64,102
Thu,2024/09/04 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,38,884,2286,103
Wed,2024/09/10 23:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,38,1544,1983,104
Wed,2024/09/17 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,38,690,1854,105
Mon,2024/09/01 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,38,408,1656,106
Mon,2024/09/22 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,38,412,1128,107
Fri,2024/09/05 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,38,223,1110,108
Sat,2024/09/13 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,38,106,1047,109
Thu,2024/09/18 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,38,610,954,110
Sat,2024/09/27 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,38,517,883,111
Sun,2024/09/28 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,38,261,752,112
Thu,2024/09/04 23:00:00+00,9:00 AM-10:00 AM,Camera 317 Reform St,38,902,216,113
Sun,2024/09/07 23:00:00+00,3:00 PM-4:00 PM,Camera 317 Reform St,38,3163,190,114
Wed,2024/09/17 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,38,1435,115,115
Wed,2024/09/10 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,38,3576,90,116
Wed,2024/09/17 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,38,1121,55,117
Mon,2024/09/15 23:00:00+00,4:00 PM-5:00 PM,Camera  308 Murraygate,38,1009,6,118
Mon,2024/09/15 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,37,754,2202,119
Tue,2024/09/09 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,37,918,2184,120
Tue,2024/09/02 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,37,829,2041,121
Tue,2024/09/16 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,37,1002,1856,122
Wed,2024/09/03 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,37,1020,1833,123
Thu,2024/09/18 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,37,433,1222,124
Wed,2024/09/24 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,37,689,890,125
Wed,2024/09/17 23:00:00+00,7:00 AM-8:00 AM,Camera 500 Hilltown,37,158,704,126
Mon,2024/09/22 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,37,1133,226,127
Mon,2024/09/08 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,37,3788,19,128
Wed,2024/09/24 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,37,1829,15,129
Tue,2024/09/09 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,36,1193,2580,130
Sat,2024/09/06 23:00:00+00,2:00 PM-3:00 PM,Camera 328 South Marketgait,36,2187,2365,131
Thu,2024/09/18 23:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,36,1448,2280,132
Mon,2024/09/29 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,36,774,1899,133
Wed,2024/09/10 23:00:00+00,1:00 PM-2:00 PM,Camera 500 Hilltown,36,543,1357,134
Thu,2024/09/11 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,36,337,1226,135
Tue,2024/09/23 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,36,409,1138,136
Thu,2024/09/18 23:00:00+00,8:00 AM-9:00 AM,Camera 500 Hilltown,36,374,1122,137
Wed,2024/09/03 23:00:00+00,7:00 PM-8:00 PM,Camera 500 Hilltown,36,245,1082,138
Tue,2024/09/16 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,36,400,1028,139
Fri,2024/09/12 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,36,298,971,140
Thu,2024/09/04 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,36,2512,283,141
Tue,2024/09/09 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,36,1728,161,142
Sun,2024/09/28 23:00:00+00,2:00 PM-3:00 PM,Camera  308 Murraygate,36,1339,6,143
Thu,2024/09/18 23:00:00+00,4:00 PM-5:00 PM,Camera 328 South Marketgait,35,1363,2762,144
Wed,2024/09/03 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,35,956,2604,145
Mon,2024/09/22 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,35,903,2363,146
Fri,2024/09/19 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,35,125,2247,147
Wed,2024/09/24 23:00:00+00,6:00 PM-7:00 PM,Camera 328 South Marketgait,35,726,2129,148
Wed,2024/09/17 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,35,810,1964,149
Tue,2024/09/02 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,35,315,1457,150
Mon,2024/09/08 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,42,293,982,151
Fri,2024/09/19 23:00:00+00,7:00 PM-8:00 PM,Camera 317 Reform St,42,1322,134,152
Fri,2024/09/05 23:00:00+00,1:00 PM-2:00 PM,Camera  308 Murraygate,42,3956,25,153
Fri,2024/09/19 23:00:00+00,5:00 PM-6:00 PM,Camera 328 South Marketgait,41,1294,2175,154
Mon,2024/09/01 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,41,322,1329,155
Tue,2024/09/02 23:00:00+00,12:00 PM-1:00 PM,Camera 500 Hilltown,41,396,1184,156
Fri,2024/09/12 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,41,196,1124,157
Thu,2024/09/11 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,41,312,1068,158
Tue,2024/09/16 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,41,418,1005,159
Tue,2024/09/09 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,41,263,927,160
Thu,2024/09/04 23:00:00+00,12:00 PM-1:00 PM,Camera 317 Reform St,41,3170,163,161
Sat,2024/09/06 23:00:00+00,1:00 PM-2:00 PM,Camera 317 Reform St,41,4464,137,162
Wed,2024/09/10 23:00:00+00,11:00 AM-12:00 PM,Camera  308 Murraygate,41,2688,41,163
Sun,2024/09/07 23:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,40,1311,2266,164
Thu,2024/09/04 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,40,784,2161,165
Fri,2024/09/19 23:00:00+00,10:00 AM-11:00 AM,Camera 328 South Marketgait,40,190,1784,166
Thu,2024/09/04 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,40,332,1638,167
Tue,2024/09/02 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,40,328,1427,168
Tue,2024/09/09 23:00:00+00,2:00 PM-3:00 PM,Camera 500 Hilltown,40,545,1276,169
Tue,2024/09/23 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,40,273,1169,170
Mon,2024/09/15 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,40,609,1157,171
Tue,2024/09/02 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,40,255,1154,172
Mon,2024/09/29 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,40,338,1035,173
Wed,2024/09/17 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,40,408,976,174
Thu,2024/09/11 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,40,330,972,175
Mon,2024/09/22 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,40,320,966,176
Thu,2024/09/11 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,40,711,932,177
Sat,2024/09/06 23:00:00+00,3:00 PM-4:00 PM,Camera 500 Hilltown,40,1378,918,178
Mon,2024/09/08 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,40,313,873,179
Sat,2024/09/20 23:00:00+00,10:00 AM-11:00 AM,Camera 500 Hilltown,40,264,868,180
Fri,2024/09/19 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,40,2585,263,181
Sun,2024/09/21 23:00:00+00,5:00 PM-6:00 PM,Camera 317 Reform St,40,1834,216,182
Sun,2024/09/07 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,40,3488,170,183
Sun,2024/09/28 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,40,1738,132,184
Wed,2024/09/10 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,40,3162,100,185
Mon,2024/09/15 23:00:00+00,2:00 PM-3:00 PM,Camera 317 Reform St,40,1694,84,186
Wed,2024/09/24 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,40,1594,12,187
Wed,2024/09/03 23:00:00+00,12:00 PM-1:00 PM,Camera  308 Murraygate,40,2662,11,188
Thu,2024/09/18 23:00:00+00,7:00 PM-8:00 PM,Camera 328 South Marketgait,39,806,1630,189
Fri,2024/09/05 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,39,883,1212,190
Thu,2024/09/18 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,39,338,1136,191
Fri,2024/09/19 23:00:00+00,11:00 AM-12:00 PM,Camera 500 Hilltown,39,433,1118,192
Fri,2024/09/12 23:00:00+00,5:00 PM-6:00 PM,Camera 500 Hilltown,39,223,1058,193
Mon,2024/09/15 23:00:00+00,6:00 PM-7:00 PM,Camera 500 Hilltown,39,292,1043,194
Sat,2024/09/20 23:00:00+00,4:00 PM-5:00 PM,Camera 500 Hilltown,39,369,902,195
Sat,2024/09/20 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,39,314,737,196
Wed,2024/09/10 23:00:00+00,10:00 AM-11:00 AM,Camera 317 Reform St,39,1483,205,197
Thu,2024/09/18 23:00:00+00,11:00 AM-12:00 PM,Camera 323 Union Street,39,817,193,198
