Day,Date,Hour,Source,Number_of_Bicycles,Number_of_People,Number_of_Road_Vehicles,FID
Mon,2023/10/01 23:00:00+00,6:00 PM-7:00 PM,Camera 317 Reform St,42,1302,206,89
Sun,2023/09/30 23:00:00+00,8:00 PM-9:00 PM,Camera 320 Westport,3,448,316,90
Mon,2023/10/01 23:00:00+00,4:00 PM-5:00 PM,Camera 317 Reform St,41,2088,181,91
Sun,2023/09/30 23:00:00+00,12:00 AM-1:00 AM,Camera 320 Westport,3,673,283,92
Mon,2023/10/01 23:00:00+00,9:00 AM-10:00 AM,Camera 500 Hilltown,40,359,451,93
Sun,2023/09/30 23:00:00+00,5:00 PM-6:00 PM,Camera 310 - Seagate,3,755,271,94
Mon,2023/10/01 23:00:00+00,3:00 PM-4:00 PM,Camera 328 South Marketgait,39,887,1968,95
Sun,2023/09/30 23:00:00+00,6:00 AM-7:00 AM,Camera 331 Railway Station,3,28,216,96
Mon,2023/10/01 23:00:00+00,8:00 AM-9:00 AM,Camera 328 South Marketgait,38,745,2400,97
Sun,2023/09/30 23:00:00+00,9:00 PM-10:00 PM,Camera 310 - Seagate,3,191,167,98
Mon,2023/10/01 23:00:00+00,8:00 AM-9:00 AM,Camera 317 Reform St,37,696,274,99
Sun,2023/09/30 23:00:00+00,10:00 PM-11:00 PM,Camera 310 - Seagate,3,191,163,100
Mon,2023/10/01 23:00:00+00,12:00 PM-1:00 PM,Camera 328 South Marketgait,35,964,1852,101
Sun,2023/09/30 23:00:00+00,3:00 AM-4:00 AM,Camera 500 Hilltown,3,7,147,102
Mon,2023/10/01 23:00:00+00,9:00 AM-10:00 AM,Camera 320 Westport,35,773,1367,103
Sun,2023/09/30 23:00:00+00,4:00 AM-5:00 AM,Camera 320 Westport,3,175,84,104
Mon,2023/10/01 23:00:00+00,6:00 PM-7:00 PM,Camera 331 Railway Station,34,308,1964,105
Sun,2023/09/30 23:00:00+00,8:00 AM-9:00 AM,Camera 310 - Seagate,3,99,23,106
